pathway_id	pathway_name	source	jumper_idx	laggard_idx	log2_ratio_idx	n_contributing_taxa_jumper	n_contributing_taxa_laggard	top_jumper_taxa	top_laggard_taxa	method_note
map00010	Glycolysis / Gluconeogenesis	KEGG_GENOME	0.005755615381593019	0.0154233827823569	-1.4219200306755835	79	111	Klebsiella variicola (1.05e-03); Pectobacterium cacticida (4.04e-04); Citrobacter koseri (3.99e-04); Flavobacterium jumunjinense (2.81e-04); Arcticibacterium luteifluviistationis (2.71e-04)	Cutibacterium acnes (4.79e-03); Moraxella osloensis (9.66e-04); Exiguobacterium aestuarii (9.00e-04); Cutibacterium namnetense (4.74e-04); Pseudomonas oryzihabitans (4.67e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00020	Citrate cycle (TCA cycle)	KEGG_GENOME	0.0038289046961339102	0.010921392807231582	-1.5119085496977762	79	111	Klebsiella variicola (5.67e-04); Pectobacterium cacticida (3.21e-04); Flavobacterium jumunjinense (2.56e-04); Citrobacter koseri (2.54e-04); Arcticibacterium luteifluviistationis (2.03e-04)	Cutibacterium acnes (2.85e-03); Moraxella osloensis (9.66e-04); Exiguobacterium aestuarii (5.05e-04); Flavobacterium haoranii (4.02e-04); Pseudomonas oryzihabitans (3.87e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00030	Pentose phosphate pathway	KEGG_GENOME	0.004331786403055942	0.01106268311644691	-1.3524647190936663	79	111	Klebsiella variicola (8.07e-04); Citrobacter koseri (3.05e-04); Pectobacterium cacticida (2.97e-04); Arcticibacterium luteifluviistationis (2.81e-04); Flavobacterium jumunjinense (1.53e-04)	Cutibacterium acnes (3.50e-03); Pseudomonas oryzihabitans (5.74e-04); Exiguobacterium aestuarii (4.61e-04); Moraxella osloensis (3.98e-04); Cutibacterium namnetense (3.46e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00040	Pentose and glucuronate interconversions	KEGG_GENOME	0.0028286389071639313	0.005005169773634284	-0.8230892566440412	79	111	Klebsiella variicola (5.84e-04); Citrobacter koseri (3.19e-04); Pectobacterium cacticida (2.86e-04); Arcticibacterium luteifluviistationis (2.52e-04); Emticicia soli (7.27e-05)	Cutibacterium acnes (1.94e-03); Pectobacterium cacticida (2.47e-04); Mariniblastus fucicola (1.93e-04); Cutibacterium namnetense (1.92e-04); Moraxella osloensis (1.70e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00051	Fructose and mannose metabolism	KEGG_GENOME	0.003802388952637038	0.008416943991794107	-1.1461824274726873	79	111	Klebsiella variicola (9.62e-04); Citrobacter koseri (3.41e-04); Pectobacterium cacticida (2.62e-04); Arcticibacterium luteifluviistationis (2.42e-04); Flavobacterium jumunjinense (1.28e-04)	Cutibacterium acnes (3.11e-03); Cutibacterium namnetense (3.07e-04); Pseudomonas oryzihabitans (2.94e-04); Mariniblastus fucicola (2.70e-04); Klebsiella variicola (2.67e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00052	Galactose metabolism	KEGG_GENOME	0.002520569991039595	0.006395932501678901	-1.343057989866672	79	110	Klebsiella variicola (5.32e-04); Arcticibacterium luteifluviistationis (2.23e-04); Pectobacterium cacticida (2.02e-04); Citrobacter koseri (1.96e-04); Pseudoalteromonas phenolica (1.04e-04)	Cutibacterium acnes (2.72e-03); Exiguobacterium aestuarii (3.95e-04); Cutibacterium namnetense (2.69e-04); Pectobacterium cacticida (1.75e-04); Pseudomonas oryzihabitans (1.60e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00053	Ascorbate and aldarate metabolism	KEGG_GENOME	0.0015931569587451153	0.0031995100442779993	-1.0055081539618826	78	110	Klebsiella variicola (4.46e-04); Citrobacter koseri (1.45e-04); Arcticibacterium luteifluviistationis (1.35e-04); Pectobacterium cacticida (8.33e-05); Emticicia soli (4.74e-05)	Cutibacterium acnes (1.04e-03); Pseudomonas oryzihabitans (2.67e-04); Exiguobacterium aestuarii (1.76e-04); Klebsiella variicola (1.24e-04); Mariniblastus fucicola (1.03e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00061	Fatty acid biosynthesis	KEGG_GENOME	0.0030913437255927502	0.007527821407343463	-1.283723348024002	79	111	Klebsiella variicola (3.26e-04); Flavobacterium jumunjinense (2.81e-04); Arcticibacterium luteifluviistationis (2.71e-04); Pectobacterium cacticida (2.26e-04); Pseudoalteromonas phenolica (1.60e-04)	Cutibacterium acnes (9.07e-04); Moraxella osloensis (7.39e-04); Flavobacterium haoranii (4.42e-04); Exiguobacterium aestuarii (3.51e-04); Mariniblastus fucicola (3.08e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00071	Fatty acid degradation	KEGG_GENOME	0.0018695043646550667	0.0053830662737179135	-1.5252688362318583	78	111	Klebsiella variicola (2.58e-04); Arcticibacterium luteifluviistationis (1.06e-04); Pseudoalteromonas phenolica (9.63e-05); Flavobacterium jumunjinense (8.94e-05); Citrobacter koseri (8.70e-05)	Moraxella osloensis (3.98e-04); Cutibacterium acnes (3.89e-04); Cupriavidus necator (2.46e-04); Exiguobacterium aestuarii (2.19e-04); Pseudomonas azotoformans (2.07e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00073	Cutin, suberine and wax biosynthesis	KEGG_GENOME	4.479677127514397e-06	0.00015112372353988702	-4.7950104577164145	3	26	Alcanivorax jadensis (2.06e-06); Moraxella osloensis (1.55e-06); Runella soli (8.73e-07)	Moraxella osloensis (5.68e-05); Aeromonas dhakensis (1.23e-05); Lysobacter brunescens (8.96e-06); Pseudomonas alkylphenolica (8.21e-06); Aeromonas lusitana (8.09e-06)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
