taxon	Jumper	Laggard	rel_abund_jumper_pct	rel_abund_laggard_pct	clr_Jumper	clr_Laggard	fold_diff	direction	exclusive_to	contaminant_flag	contamination_score	contamination_risk	contaminant_reason	contamination_rationale
Jiulongibacter sediminis	298	17	55.4935	3.3399	5.1524	2.0458	3.1066	Jumper-enriched	none	False	0.0	LOW		No contaminant indicators
Citrobacter koseri	13	2	2.4209	0.3929	2.0203	-0.0943	2.1146	Jumper-enriched	none	False	0.0223	LOW		No contaminant indicators
Klebsiella variicola	34	9	6.3315	1.7682	2.9817	1.4098	1.5719	Jumper-enriched	none	False	0.0052	LOW		No contaminant indicators
Erwinia piriflorinigrans	3	1	0.5587	0.1965	0.5539	-0.7874	1.3414	Jumper-enriched	none	False	0.0995	LOW		No contaminant indicators
Unknown	5	2	0.9311	0.3929	1.0648	-0.0943	1.1591	Jumper-enriched	none	False	0.0615	LOW		No contaminant indicators
Cronobacter muytjensii	2	1	0.3724	0.1965	0.1485	-0.7874	0.9359	Jumper-enriched	none	False	0.1335	LOW		No contaminant indicators
Marivita roseacus	2	1	0.3724	0.1965	0.1485	-0.7874	0.9359	Jumper-enriched	none	False	0.1335	LOW		No contaminant indicators
Leclercia pneumoniae	4	3	0.7449	0.5894	0.8416	0.3112	0.5304	Jumper-enriched	none	False	0.0615	LOW		No contaminant indicators
Pectobacterium cacticida	17	14	3.1657	2.7505	2.2885	1.8516	0.4369	Jumper-enriched	none	False	0.0105	LOW		No contaminant indicators
Enterobacter mori	1	1	0.1862	0.1965	-0.5447	-0.7874	0.2428	Jumper-enriched	none	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Kluyvera georgiana	2	2	0.3724	0.3929	0.1485	-0.0943	0.2428	Jumper-enriched	none	False	0.0995	LOW		No contaminant indicators
Mucilaginibacter koreensis	1	1	0.1862	0.1965	-0.5447	-0.7874	0.2428	Jumper-enriched	none	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Pluralibacter pyrinus	2	2	0.3724	0.3929	0.1485	-0.0943	0.2428	Jumper-enriched	none	False	0.0995	LOW		No contaminant indicators
Rahnella aceris	1	1	0.1862	0.1965	-0.5447	-0.7874	0.2428	Jumper-enriched	none	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Agarivorans gilvus	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Alcanivorax jadensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Arcticibacterium luteifluviistationis	9	0	1.676	0.0	1.6525	NA	NA	Jumper-exclusive	Jumper	False	0.0432	LOW		No contaminant indicators
Buchnera aphidicola	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Citrobacter bitternis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Cyclobacterium qasimii	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Dyadobacter sediminis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Emticicia soli	3	0	0.5587	0.0	0.5539	NA	NA	Jumper-exclusive	Jumper	False	0.1335	LOW		No contaminant indicators
Endothiovibrio diazotrophicus	15	0	2.7933	0.0	2.1634	NA	NA	Jumper-exclusive	Jumper	False	0.0223	LOW		No contaminant indicators
Enterobacter asburiae	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Flavobacterium jumunjinense	8	0	1.4898	0.0	1.5348	NA	NA	Jumper-exclusive	Jumper	True	0.0524	LOW	Genus 'flavobacterium' is a known reagent/skin contaminant	Genus 'flavobacterium' in contaminant database
Flavobacterium phocarum	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	True	0.8646	HIGH	Genus 'flavobacterium' is a known reagent/skin contaminant	Genus 'flavobacterium' in contaminant database; Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Flavobacterium silvisoli	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	True	0.1976	LOW	Genus 'flavobacterium' is a known reagent/skin contaminant	Genus 'flavobacterium' in contaminant database; Singleton/doubleton — possible stochastic contaminant
Fluviimonas pallidilutea	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Franconibacter helveticus	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Haliea alexandrii	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Haloferula luteola	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Insectihabitans xujianqingii	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Klebsiella quasipneumoniae	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Klebsiella quasivariicola	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Kluyvera ascorbata	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Kytococcus sedentarius	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Mangrovibacter plantisponsor	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Maribius pelagius	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Mesorhizobium septentrionale	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Methylococcus capsulatus	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Methylotenera mobilis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Novispirillum itersonii	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pantoea agglomerans	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Pantoea dispersa	3	0	0.5587	0.0	0.5539	NA	NA	Jumper-exclusive	Jumper	False	0.1335	LOW		No contaminant indicators
Paracoccus salipaludis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pectobacterium polaris	3	0	0.5587	0.0	0.5539	NA	NA	Jumper-exclusive	Jumper	False	0.1335	LOW		No contaminant indicators
Pelagerythrobacter marensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Peptoniphilus faecalis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Phaeocystidibacter luteus	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Phaeodactylibacter luteus	3	0	0.5587	0.0	0.5539	NA	NA	Jumper-exclusive	Jumper	False	0.1335	LOW		No contaminant indicators
Phycisphaera mikurensis	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Phytobacter diazotrophicus	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pontibacter roseus	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Proteus faecis	3	0	0.5587	0.0	0.5539	NA	NA	Jumper-exclusive	Jumper	False	0.1335	LOW		No contaminant indicators
Pseudoalteromonas arabiensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas fenneropenaei	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas luteoviolacea	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas peptidolytica	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas phenolica	10	0	1.8622	0.0	1.7579	NA	NA	Jumper-exclusive	Jumper	False	0.0366	LOW		No contaminant indicators
Pseudoalteromonas telluritireducens	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas translucida	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudoalteromonas xiamenensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Pseudomonas arcuscaelestis	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	True	0.1976	LOW	Genus 'pseudomonas' is a known reagent/skin contaminant	Genus 'pseudomonas' in contaminant database; Singleton/doubleton — possible stochastic contaminant
Pseudomonas saponiphila	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	True	0.8646	HIGH	Genus 'pseudomonas' is a known reagent/skin contaminant	Genus 'pseudomonas' in contaminant database; Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Rahnella inusitata	4	0	0.7449	0.0	0.8416	NA	NA	Jumper-exclusive	Jumper	False	0.0995	LOW		No contaminant indicators
Ralstonia pickettii	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	True	0.1976	LOW	Genus 'ralstonia' is a known reagent/skin contaminant	Genus 'ralstonia' in contaminant database; Singleton/doubleton — possible stochastic contaminant
Raoultella electrica	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Rhizorhapis suberifaciens	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Ruegeria pomeroyi	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Runella soli	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Salipiger aestuarii	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Serratia ficaria	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Serratia ureilytica	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Shewanella litorisediminis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
