taxon	Jumper	Laggard	rel_abund_jumper_pct	rel_abund_laggard_pct	fold_diff	direction	exclusive_to	predicted_function	pathways	category	evidence_basis	literature_refs	contaminant_flag	contaminant_reason	contaminant_note
Jiulongibacter sediminis	298	17	55.4935	3.3399	3.1066	Jumper-enriched	none	Anaerobic metabolism; Fermentation (putative)	Anaerobic fermentation	anaerobic_fermenter	literature-curated	Liu et al. 2016, Jiulongibacter sediminis gen. nov.	False		Sediment bacterium; environmental origin likely
Citrobacter koseri	13	2	2.4209	0.3929	2.1146	Jumper-enriched	none	Citrate utilization; Mixed acid fermentation; Hydrogen sulfide production	Citrate cycle; Mixed acid fermentation	organic_acid_metabolism	literature-curated	Borenshtein & Schauer 2006, The Genus Citrobacter	False		
Klebsiella variicola	34	9	6.3315	1.7682	1.5719	Jumper-enriched	none	Mixed acid fermentation; Nitrogen fixation; Siderophore production	Mixed acid fermentation; Nitrogen fixation (nif)	organic_acid_metabolism	literature-curated	Podschun & Ullmann 1998, Klebsiella spp.	False		
Erwinia piriflorinigrans	3	1	0.5587	0.1965	1.3414	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Unknown	5	2	0.9311	0.3929	1.1591	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Cronobacter muytjensii	2	1	0.3724	0.1965	0.9359	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Marivita roseacus	2	1	0.3724	0.1965	0.9359	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Leclercia pneumoniae	4	3	0.7449	0.5894	0.5304	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Pectobacterium cacticida	17	14	3.1657	2.7505	0.4369	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Enterobacter mori	1	1	0.1862	0.1965	0.2428	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Kluyvera georgiana	2	2	0.3724	0.3929	0.2428	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Mucilaginibacter koreensis	1	1	0.1862	0.1965	0.2428	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Pluralibacter pyrinus	2	2	0.3724	0.3929	0.2428	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Rahnella aceris	1	1	0.1862	0.1965	0.2428	Jumper-enriched	none	unknown (no curated entry)		unknown	none		False		
Agarivorans gilvus	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Alcanivorax jadensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Arcticibacterium luteifluviistationis	9	0	1.676	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Buchnera aphidicola	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Citrobacter bitternis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Citrate utilization; Mixed acid fermentation; Hydrogen sulfide production	Citrate cycle; Mixed acid fermentation	organic_acid_metabolism	literature-curated	Borenshtein & Schauer 2006, The Genus Citrobacter	False		
Cyclobacterium qasimii	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Dyadobacter sediminis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Emticicia soli	3	0	0.5587	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Endothiovibrio diazotrophicus	15	0	2.7933	0.0		Jumper-exclusive	Jumper	Sulfur oxidation; Nitrogen fixation (putative)	Sulfur oxidation (sox); Nitrogen fixation (nif)	sulfur_metabolism	literature-curated	Bazylinski et al. 2016, Endothiovibrio diazotrophicus	False		
Enterobacter asburiae	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Flavobacterium jumunjinense	8	0	1.4898	0.0		Jumper-exclusive	Jumper	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium phocarum	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium silvisoli	2	0	0.3724	0.0		Jumper-exclusive	Jumper	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Fluviimonas pallidilutea	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Franconibacter helveticus	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Haliea alexandrii	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Haloferula luteola	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Insectihabitans xujianqingii	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Klebsiella quasipneumoniae	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Mixed acid fermentation; Nitrogen fixation; Siderophore production	Mixed acid fermentation; Nitrogen fixation (nif)	organic_acid_metabolism	literature-curated	Podschun & Ullmann 1998, Klebsiella spp.	False		
Klebsiella quasivariicola	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Mixed acid fermentation; Nitrogen fixation; Siderophore production	Mixed acid fermentation; Nitrogen fixation (nif)	organic_acid_metabolism	literature-curated	Podschun & Ullmann 1998, Klebsiella spp.	False		
Kluyvera ascorbata	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Kytococcus sedentarius	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Mangrovibacter plantisponsor	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Maribius pelagius	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Mesorhizobium septentrionale	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Methylococcus capsulatus	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Methylotenera mobilis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Novispirillum itersonii	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pantoea agglomerans	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pantoea dispersa	3	0	0.5587	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Paracoccus salipaludis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pectobacterium polaris	3	0	0.5587	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pelagerythrobacter marensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Peptoniphilus faecalis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Phaeocystidibacter luteus	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Phaeodactylibacter luteus	3	0	0.5587	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Phycisphaera mikurensis	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Phytobacter diazotrophicus	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pontibacter roseus	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Proteus faecis	3	0	0.5587	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Pseudoalteromonas arabiensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas fenneropenaei	2	0	0.3724	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas luteoviolacea	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas peptidolytica	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas phenolica	10	0	1.8622	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas telluritireducens	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas translucida	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudoalteromonas xiamenensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Extracellular enzyme secretion; Bioactive compound synthesis	Chitin degradation; Secondary metabolite biosynthesis	chitin_degrader	literature-curated	Holmström & Kjelleberg 1999, Marine Pseudoalteromonas	False		
Pseudomonas arcuscaelestis	2	0	0.3724	0.0		Jumper-exclusive	Jumper	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas saponiphila	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Rahnella inusitata	4	0	0.7449	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Ralstonia pickettii	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		True	Genus 'ralstonia' is a known reagent/skin contaminant	
Raoultella electrica	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Rhizorhapis suberifaciens	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Ruegeria pomeroyi	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Runella soli	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Salipiger aestuarii	2	0	0.3724	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Serratia ficaria	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Serratia ureilytica	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Shewanella litorisediminis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Shewanella maritima	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Siccibacter turicensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Sphingomonas koreensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		True	Genus 'sphingomonas' is a known reagent/skin contaminant	
Stutzerimonas kunmingensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Thalassotalea marina	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Thiohalospira halophila	6	0	1.1173	0.0		Jumper-exclusive	Jumper	Sulfur oxidation; Halophilic metabolism	Sulfur oxidation (sox)	sulfur_metabolism	literature-curated	Sorokin et al. 2008, Thiohalospira	False		
Thiomicrorhabdus heinhorstiae	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Trabulsiella guamensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
