	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
AB056458.1	12.0767	0.5554	0.0000	0.0000	0.1580	0.2762	0.1163	0.0000	12.0335	5.6231	0.1932	2.5515	1.5049	46.9165	248.6198	0.0000	162.1398	12.4719	80.7423	372.3623
AF221096.1	16.2569	16.1942	910.3931	76.6593	23.4763	44.6630	27.3121	248.5141	108.9621	22.9221	43.8567	110.6804	99.0086	104.6223	122.2458	78.9882	812.7794	16.0749	69.5941	77.3460
AY466445.1	62.8520	35.4726	23.9085	37.4103	37.4297	51.1461	20.7946	33.5664	50.2554	69.7203	24.1125	31.6170	28.5139	67.9386	67.6920	81.9171	73.1689	43.7083	46.1625	27.2276
AY626840.1	4.8359	8.0731	5.1625	33.3474	4.9708	5.2747	6.9233	4.5300	40.7688	3.3177	5.5559	3.2573	3.5861	29.4616	2.9928	10.3724	12.5600	12.0978	4.1470	2.4344
DQ073104.1	52.6591	44.0384	18.2172	25.5708	48.7660	59.4736	57.4450	29.0731	36.6209	16.2766	79.7018	56.9855	43.2319	45.9265	23.3403	50.4401	37.4761	65.4781	84.2042	24.4024
DQ121374.1	3.7263	6.0380	5.6555	4.8219	9.5009	10.1934	2.8014	1.0635	3.9845	3.6295	6.4141	4.8243	4.1483	4.6040	3.8576	0.8138	1.1247	4.3128	3.3692	5.2062
DQ157765.1	38.5559	52.3134	31.7122	48.8722	26.6735	42.8398	41.8101	37.2689	35.0756	44.1422	39.3257	52.1809	29.8356	46.4850	42.7022	50.7352	69.0848	31.3283	60.7682	27.9343
DQ365888.1	3.9895	5.6353	5.7841	34.1042	1.6403	3.2110	15.2768	2.1942	0.1714	3.5616	151.0122	14.8910	0.9722	4.5397	31.7070	15.3265	105.3223	6.1955	3.9882	39.5126
EF073269.1	1.2526	0.8314	1.6419	7.0392	0.6598	0.7124	0.3627	0.5722	0.7833	0.6843	0.9192	2.1503	1.2087	4.2875	0.9602	0.9838	3.6519	0.9126	0.8504	0.9762
EF208559.1	1.4310	1.1278	1.5674	2.0009	0.5990	1.0416	0.6935	1.6354	1.0070	2.2431	0.4330	1.5202	1.1552	1.1350	1.2684	1.2485	1.8480	0.8137	1.4099	1.9842
EF364521.1	50.5314	6.5627	13.5764	36.3393	10.0046	19.7713	12.7779	9.3916	15.0324	25.6537	4.9737	10.5884	14.6377	13.1303	5.0490	0.8652	0.0000	42.5844	5.8196	11.6316
EF364552.1	54.5473	50.4239	26.0875	75.0068	32.0915	37.6204	39.7270	33.2717	41.2621	5.8526	213.0408	754.5986	5.3567	28.3081	2737.4745	25.8731	58.9980	69.2118	28.8056	36.2151
EL608988.1	2.4990	0.0000	0.4031	0.4426	0.2093	0.2650	0.5419	1.6142	0.3093	0.3930	0.0992	0.7893	0.4971	0.0000	1.1204	12.4243	2.6084	0.2052	0.0614	0.0000
EL608989.1	4.4180	2.1856	2.3879	5.3483	4.6957	3.5586	2.3933	1.6260	3.0365	2.0163	1.9627	3.0699	5.4270	1.8878	3.9033	3.8030	1.1022	5.7866	0.7630	4.8992
EL608991.1	2.8639	0.4773	0.4524	1.3836	2.6450	0.9044	0.5809	0.9654	9.3115	0.0000	3.0352	3.1216	0.0000	1.6946	1.1170	1.8726	1.1574	1.3265	1.6590	0.0000
EL608993.1	42.2036	16.5696	14.0455	148.0658	17.1163	11.7573	24.8348	17.2791	54.2203	10.4250	62.6136	52.1037	6.9965	339.2024	38.6286	14.6372	59.8179	102.2260	40.4111	8.8289
EL608994.1	1.3648	5.2771	1.5056	3.4000	3.1900	0.8785	0.8868	1.0425	4.1155	6.0442	0.2296	0.1713	4.8190	1.9042	4.6686	1.4012	4.6284	1.3581	3.6954	4.7536
EL608997.1	26.5465	34.0156	34.4697	33.9579	33.1834	29.3675	34.1675	31.4069	33.5247	32.6875	29.9059	34.1723	27.7022	29.5433	27.3798	35.2613	35.1049	29.1126	32.6032	29.6366
EL608998.1	18.4643	13.6799	12.4783	17.1798	10.1672	22.6324	11.0475	19.3704	14.8469	11.1387	16.7237	12.1043	13.1905	10.7032	10.6934	24.2536	12.5559	10.6373	8.1130	11.5192
EL608999.1	0.4032	3.5017	1.1028	2.9396	0.5728	0.6025	4.7230	0.5624	5.2895	0.0000	5.1772	0.0000	5.8828	0.3751	2.5451	1.9878	4.7132	0.3075	0.2342	4.2913
EL609000.1	3.9626	5.1418	3.8108	2.2755	3.8137	6.4721	6.8012	3.6527	3.9927	2.9380	7.6525	3.9779	2.9379	2.3094	3.3562	3.6984	1.9773	3.3115	2.1512	5.4628
EL609002.1	1.4182	3.2066	0.0000	5.5568	0.0000	0.0000	3.7210	0.0975	0.0000	1.1763	13.9234	0.0000	3.5131	1.3979	93.4263	1.7402	11.9290	1.9600	1.2865	0.9331
EL609003.1	31.7768	21.1391	10.8412	22.1718	12.9606	15.2600	24.3238	18.6624	29.6855	21.4375	16.9369	24.3804	16.2424	27.0774	21.4628	27.1333	42.0779	31.7048	41.4856	43.5641
EL609004.1	13.2380	0.4560	0.4206	34.5496	0.0000	0.0000	0.0000	0.1683	2.0559	1.1322	2.0713	0.6554	0.0359	12.3312	3.1832	0.4483	5.8081	0.3147	0.0000	4.4536
EL609005.1	0.3287	1.5693	0.9479	0.1498	0.2772	0.2608	1.4052	0.8334	0.7587	1.4455	0.0000	0.7808	3.8070	3.8505	0.2729	0.3109	1.4442	0.2671	0.4810	1.4460
EL609008.1	11.5843	25.0333	9.1180	41.3923	5.5757	11.9701	19.8729	10.6073	25.3659	13.5121	16.8095	8.5172	11.4269	33.1928	19.2213	20.9457	42.4857	13.9388	11.1118	12.6478
EL609010.1	16.1793	38.0522	11.4751	61.6503	17.8373	18.9746	33.9188	21.4226	10.5020	17.4734	43.5635	35.1831	20.4340	10.9176	17.6353	134.3032	94.7097	22.7789	23.4552	23.9652
EL609012.1	4.2280	10.5104	9.2558	12.0002	2.8132	7.7690	16.8440	1.0448	12.0855	6.8150	3.2704	5.5065	4.3126	7.8657	5.6475	4.9520	8.1491	2.1562	4.1750	6.0392
EL609013.1	3.2504	1.9976	0.4263	4.0798	0.9208	2.6935	1.6534	2.4435	0.5452	3.7900	2.8120	2.8656	0.4840	0.0000	2.4047	19.1335	6.6538	1.5942	4.7748	0.4639
EL609014.1	4.2656	2.3482	1.5069	5.6240	3.9730	3.9099	0.9080	1.1375	18.9952	0.0000	0.0407	9.9191	22.1863	12.6314	2.1458	2.0381	5.0915	9.2253	3.4176	8.6401
EL609017.1	54.2987	26.6813	19.7768	28.8429	36.9950	47.9447	29.7054	23.5253	44.6795	51.7880	33.4658	17.7613	32.7641	30.3013	84.2895	158.5040	79.4287	47.0241	25.7974	38.6500
EL609018.1	22.8419	16.2904	14.7489	15.8767	30.5755	19.4256	17.8226	17.4783	24.0415	10.9949	24.2709	24.7857	14.8288	21.7939	16.9575	32.1031	21.2337	23.1436	14.7512	17.8297
EL609020.1	100.0353	88.2429	48.0664	88.4054	158.3324	73.0816	66.1815	59.9372	80.8808	74.3709	73.3098	83.8703	96.3027	76.2351	67.5582	166.0360	107.9794	111.9401	82.4315	100.5517
EL609022.1	1.9119	3.5128	1.7343	2.9142	2.8426	1.4863	2.5953	2.7356	1.7107	3.8836	3.6485	1.6574	2.3293	2.1724	3.1645	3.0938	3.8907	3.1059	1.9878	4.8850
EL609023.1	41.6986	69.9465	34.7222	43.2329	55.5410	60.5229	46.9329	43.5762	47.7446	49.3745	66.2812	40.8041	51.2236	39.9017	61.8633	86.4268	87.5594	47.5951	61.6038	49.3877
EL609024.1	5.3715	0.1778	0.0000	1.8295	1.2635	1.2532	0.9042	0.9267	4.2810	0.9691	0.0962	0.9075	2.6937	6.3888	1.8910	25.3193	15.4456	3.9366	2.5370	0.8466
EL609028.1	38.2748	28.9068	15.1085	378.2514	19.4382	15.2683	23.7860	21.5150	53.2572	4.4582	90.6442	94.1522	32.8033	380.1332	26.4078	22.2375	207.2942	175.4957	75.8125	47.3991
EL609029.1	71.9488	71.7928	75.0765	91.7953	78.0965	71.1355	92.3473	80.0003	77.2435	88.4051	116.9213	55.8555	115.8697	119.5386	129.8943	122.9973	172.2360	141.6571	80.4122	116.9414
EL609032.1	4.3676	1.6763	0.7888	4.1520	2.2658	1.6139	1.3559	1.2475	1.6188	2.0449	3.2218	1.1768	1.3206	2.2952	3.7146	13.5997	9.0378	1.0713	0.3137	2.8059
EL609033.1	12.0070	11.9508	15.7669	21.8864	12.1260	11.9599	18.1662	11.9754	15.2315	11.0896	13.9049	13.8767	8.9535	15.6423	7.4636	13.7548	8.4643	13.4292	5.2633	11.2539
EL609039.1	0.7994	10.8328	6.5854	9.7101	22.9972	0.5203	9.7187	10.0724	0.0000	27.5639	20.7150	15.1353	17.4866	0.1035	65.6092	69.7523	133.3837	8.2288	24.7323	8.3851
EL609040.1	39.7644	26.4775	19.1054	17.3957	28.0162	20.1933	23.8683	29.3585	27.9197	35.4866	30.3641	16.1933	22.8350	17.6688	36.9883	42.1557	41.8541	18.4442	25.3674	54.1420
EL609042.1	16.3488	11.8339	5.0576	13.7950	3.7109	8.4795	6.4538	2.3190	9.1082	9.9595	7.0842	3.2054	13.4841	11.8439	16.5253	4.3371	22.1425	2.7931	23.4847	10.6066
EL609043.1	3.5482	1.0609	0.9253	4.6879	0.8540	1.8474	2.6350	2.4648	5.4010	0.7391	1.6573	2.4429	0.6936	1.5343	2.0932	21.1658	6.9963	2.4512	0.6119	1.5309
EL609046.1	154.5181	66.3113	98.2138	76.8058	143.6940	159.3884	118.6171	138.0324	101.3771	108.3667	184.1013	89.2143	167.5491	157.7645	86.9552	472.4263	310.8517	201.2260	140.4258	136.7532
EL609047.1	3.9204	3.8591	1.1160	0.8734	1.1499	0.5623	9.8531	4.5932	10.0000	1.0030	3.9649	3.8272	0.8509	31.7083	4.4609	0.2869	2.5439	4.8359	3.1114	1.1163
EL609048.1	1.8037	2.2520	1.2447	3.9223	1.1706	2.0814	0.9978	2.6200	1.8621	0.6316	2.3255	1.4384	1.3397	1.1527	1.3213	6.8453	3.8719	0.2367	0.5039	0.2369
EL609049.1	0.8854	3.1388	0.8195	0.1311	2.2854	4.5904	0.0000	0.8512	0.0000	0.0000	0.0000	3.3258	15.0261	0.6478	1.1781	0.9458	0.7522	0.0000	0.6364	0.4277
EL609055.1	3.9527	8.2861	0.1663	6.4274	6.5400	7.3353	4.1384	0.0000	0.2348	3.8196	6.0529	9.0680	3.7950	0.4960	5.3845	7.7511	4.6239	7.9227	15.1290	2.7668
EL609057.1	0.5737	0.0000	12.1580	1.2420	4.3992	1.3133	1.2309	8.2012	0.0000	12.5412	6.4564	2.6227	8.1959	0.0836	18.8476	1.9606	3.6698	18.8737	5.7395	10.6235
EL609060.1	11.5014	9.3372	7.8770	8.3817	8.2320	8.3442	5.0417	10.6859	7.7918	6.7672	7.9045	8.6263	9.0052	8.0656	14.6649	9.9640	10.7763	3.4894	6.4124	5.5245
EL609061.1	13.2221	8.3178	6.3769	7.9515	11.7809	4.9294	8.9090	6.1209	9.4929	12.3835	5.7388	10.1599	7.4405	11.3812	10.1248	12.1893	16.7594	8.6213	12.5063	16.2313
EL609062.1	3.9619	3.9169	2.0653	7.7635	1.5924	4.5131	1.9255	6.3926	3.5890	6.4241	13.9877	0.0453	1.2599	1.4860	6.2712	5.6249	3.1710	3.4126	1.2078	2.3811
EL609064.1	270.9909	159.4045	51.4716	116.8243	415.7840	145.1961	135.3313	58.2107	173.0758	69.3736	189.2138	204.0219	204.6519	136.0789	172.2242	318.5238	265.8295	276.5815	324.7457	231.2867
EL609066.1	13.9105	1.3522	3.4954	20.5362	0.0000	13.9372	2.2458	6.8061	6.9619	1.0433	8.5415	1.0610	0.9735	34.2193	0.0000	40.0091	21.2629	0.0000	0.0000	0.0000
EL609067.1	27.4017	45.7009	24.7783	49.6890	41.2912	28.4826	36.3721	28.1014	37.0533	27.8400	37.9495	35.5334	30.2410	18.6550	87.8854	55.2946	36.9059	37.3113	24.4942	23.0318
EL609069.1	4.6869	5.7396	1.5000	6.4954	4.5668	4.4381	3.5202	2.9619	2.8279	0.9831	9.9695	3.2904	7.5038	5.1719	3.8140	4.8296	5.5230	4.8917	3.4234	3.3365
EL609070.1	64.2063	58.0667	112.8456	94.3086	50.6882	87.0051	122.6426	74.9147	73.9419	65.8276	99.7819	84.1873	94.9572	87.9970	62.5399	69.5506	92.0530	109.1569	102.1586	88.4166
EL609073.1	2.1916	4.0865	0.6371	0.8804	0.7001	2.3089	5.8434	0.8824	5.3791	0.7395	1.7723	0.9722	3.4560	4.0988	2.8605	0.5357	1.2278	2.5964	2.5503	2.0637
EL609076.1	3.2699	17.9817	6.9900	6.6133	6.8559	14.2054	10.6506	10.0859	10.1138	15.0602	15.5710	7.5629	5.1534	8.4133	8.4380	6.9033	11.1397	18.1349	19.9427	10.1972
EL609078.1	0.6618	1.2359	60.4144	1.0982	0.5512	0.9991	1.8353	72.4106	43.1703	25.6763	0.6491	0.4856	0.4032	28.0743	67.5347	0.8644	6.6282	1.2237	0.1869	0.6983
EL609079.1	3.3938	4.0551	0.0000	1.1836	2.6964	2.7088	1.7810	1.6634	2.1168	2.1726	2.2418	0.3347	2.2382	3.0763	0.7240	8.1820	2.1181	3.2324	0.9988	0.8956
EL609080.1	6.7831	0.1578	0.2003	10.6899	0.0000	0.2218	0.2856	0.0000	2.2735	0.3351	0.4069	0.0000	1.4219	8.2482	0.0462	4.1842	10.1877	0.0000	0.1595	2.0277
EL609081.1	4.0313	2.5334	0.5309	1.0793	1.6799	3.1550	1.6747	0.3681	0.0000	1.4869	1.7762	3.2521	4.7888	0.3121	2.4486	2.3048	2.0594	0.7163	2.2548	5.4081
EL609083.1	236.0246	188.6609	135.9542	246.0935	208.8336	196.7776	151.0071	146.2810	231.0336	116.4521	198.5849	202.9840	214.4021	159.2870	237.6677	287.3019	272.4142	203.8739	177.1672	261.7810
EL609084.1	1264.0581	507.6499	664.6027	800.0837	1423.1820	1182.9450	327.4498	680.8184	811.7604	413.9072	1248.2973	614.3483	1598.9103	814.0537	1184.0377	1381.5349	1478.3158	1059.0606	892.9665	1192.1758
EL609085.1	96.3215	78.6534	24.3343	113.6991	77.8114	57.1481	60.6141	62.7843	51.9313	41.9763	109.9957	79.3828	54.5961	38.3742	82.8889	204.9214	91.3934	102.0903	40.7351	88.2602
EL609087.1	21.1172	0.0000	3.0098	10.3328	14.3722	1.8748	1.0431	1.3532	3.0813	4.0823	1.8512	2.2472	2.8582	2.2241	1.4073	7.5257	0.1290	12.2492	1.1560	2.4509
EL609088.1	32.9564	22.4955	5.4589	27.5842	25.8412	24.3815	13.6934	4.5575	17.1534	32.7484	9.8621	13.0086	31.2132	15.5266	50.2611	53.7333	39.5305	38.9229	36.2917	22.6877
EL609089.1	2252.1384	2084.4912	1199.3792	1709.6246	2527.0597	2159.6319	1631.1539	1239.2435	1784.7655	768.1380	2750.0751	2422.7840	2745.6609	1731.0738	2006.0596	2668.2290	3317.5766	1842.3799	2235.9649	2985.1974
EL609091.1	1.3917	0.4660	3.5160	1.5567	0.0000	1.6765	2.5980	0.6646	0.7706	0.6972	1.2399	0.8612	2.1672	3.4776	0.0000	0.5173	2.1168	0.1461	0.0000	7.3939
EL609092.1	7.6757	10.2449	7.0084	19.0544	6.3102	9.2468	5.2856	10.6848	7.0462	8.9509	9.9203	9.8926	10.0212	8.5352	8.0526	11.1265	17.0381	12.3494	13.3563	12.2177
EL609093.1	342.0852	162.7768	177.3779	286.1897	263.8638	154.7171	150.6016	166.0250	284.6898	210.1012	174.9757	224.6534	278.6888	317.2518	298.6337	289.1709	544.4358	314.4470	356.9178	537.3256
EL609094.1	4.8322	2.4209	0.0487	0.4214	3.7945	1.8368	0.5885	4.2638	0.0000	11.6507	3.3162	2.4546	7.8634	0.4350	9.1962	6.4971	8.1967	7.9778	13.8364	11.8066
EL609095.1	2.5196	8.7226	0.0000	4.4511	0.4378	3.6951	12.9620	0.3885	0.0000	0.0702	13.3436	19.7167	0.0000	0.4184	0.0602	6.2901	3.0250	0.8879	5.8067	0.0463
EL609096.1	11.0494	9.1859	11.6935	15.0211	14.3129	10.5720	12.0109	8.2472	14.2954	14.4208	8.1965	10.9896	14.4482	7.2192	16.9144	24.6427	20.9872	18.1326	19.1003	14.5646
EL609097.1	5.4216	6.5179	0.7687	4.7860	5.5488	2.1955	9.0417	1.5416	12.5610	3.5084	12.9631	1.1904	1.0325	54.8282	1.2922	4.8640	11.7086	9.3761	5.4957	2.0889
EL609100.1	54.0815	64.8215	52.6456	60.0032	66.9036	44.9969	94.4357	49.5907	69.6058	69.1567	49.6934	62.6218	61.2486	69.6584	60.7573	131.9508	121.8017	70.0910	57.8502	79.3138
