	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
AB056458.1	0.00	8.78	0.00	0.00	0.00	0.00	0.00	0.00	347.64	45.20	8.75	3.12	11.74	165174.55	193242.99	7460.65	5.28	36.68	236242.93	474531.76
AF221096.1	98.82	133.04	8385.29	321.91	48.09	60.73	35.14	493.07	9238.89	1983.65	7605.83	9173.81	10099.45	864.23	757.06	2022.45	3937.67	113.82	423.93	396.43
AY466445.1	1825.94	932.02	595.96	1223.80	1815.18	1308.57	467.89	948.24	3962.17	4968.34	2631.04	2241.93	2690.39	2405.59	2475.48	4679.46	2787.12	1209.15	1366.66	773.76
AY626840.1	379.81	341.16	201.87	293.03	75.92	50.15	61.87	40.11	2325.39	237.72	416.38	219.95	272.06	164.95	20.31	80.23	1587.32	776.01	10.08	4.91
DQ073104.1	1110.07	566.42	202.34	461.17	1913.33	1386.77	1185.11	660.20	876.06	391.11	1958.81	1156.24	1136.45	543.73	392.65	598.64	1613.68	1207.56	911.86	281.97
DQ121374.1	0.00	0.00	1.47	460.32	1932.51	1620.91	477.89	263.01	0.00	0.00	0.00	0.00	0.00	235.55	202.99	14.32	0.00	0.00	195.68	250.27
DQ157765.1	400.33	378.54	202.87	581.74	510.21	441.99	375.90	394.75	1499.23	1817.62	1992.39	1904.03	1444.46	512.76	541.48	804.55	1414.15	317.91	554.77	273.40
DQ365888.1	6.69	0.00	0.00	592.04	72.39	83.98	282.52	53.74	8.83	59.26	1799.98	167.23	19.91	50.93	368.94	111.93	1083.07	14.10	38.08	391.60
EF073269.1	343.28	235.88	372.53	581.68	195.34	123.42	71.76	104.89	5.51	0.00	8.29	60.71	31.69	285.16	93.85	51.35	801.11	219.00	57.19	61.54
EF208559.1	26.27	9.28	12.70	26.45	7.03	9.81	3.92	17.67	64.01	107.89	46.94	72.76	79.08	10.59	16.14	19.91	70.85	13.45	10.77	19.41
EF364521.1	1042287.28	921551.40	1560561.41	1.00	1.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	3.00	0.00	209.99	608142.23	0.00	0.00
EF364552.1	7179.88	11385.69	6130.76	1297.30	1572.30	932.19	938.16	975.98	175.96	7.00	1596.75	2996.53	19.00	605.98	69738.14	912.15	2778.69	7205.04	764.11	676.32
EL608988.1	21.62	0.00	9.38	1.08	0.00	0.00	1.00	5.67	0.00	0.00	0.00	1.20	1.00	0.00	5.70	87.64	11.04	2.87	1.00	0.00
EL608989.1	228.21	152.53	129.65	15.92	46.52	14.84	9.12	6.70	7.21	2.81	5.99	6.70	21.10	3.76	20.38	21.54	50.13	246.33	1.05	13.74
EL608991.1	10.78	0.00	0.00	5.34	13.24	1.10	0.00	1.88	92.58	0.00	47.28	29.54	0.00	9.52	5.48	18.95	3.21	4.12	7.92	0.00
EL608993.1	159.26	64.51	53.99	1563.36	242.83	99.14	193.26	164.31	531.87	101.28	866.01	437.82	93.35	4277.28	455.71	271.79	238.40	378.61	489.23	89.00
EL608994.1	0.00	11.18	0.00	41.73	79.64	15.35	12.93	16.41	19.16	27.22	0.00	0.00	28.03	22.33	51.88	15.65	22.49	0.00	40.27	43.84
EL608997.1	264.12	231.09	184.76	157.58	347.73	140.61	143.63	147.65	419.43	398.29	420.22	356.27	415.47	112.94	154.30	203.28	627.31	277.35	123.42	106.46
EL608998.1	350.59	239.00	208.00	135.02	151.00	195.00	89.00	183.00	188.00	132.22	288.01	141.53	204.00	80.00	98.00	261.00	232.87	182.00	56.00	76.00
