	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
AB056458.1	0.0000	0.0457	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5932	0.3834	0.0494	0.0265	0.0724	1178.2359	1182.4496	39.2477	0.0243	0.2105	1820.1457	3829.7583
AF221096.1	6.6224	8.4670	456.3252	33.4071	3.6153	6.5603	3.9528	47.4014	1144.9568	264.5616	643.3300	1248.8335	1001.3192	92.9794	70.0383	171.9421	287.6611	8.3958	44.6395	51.4443
AY466445.1	35.5287	18.8191	12.6731	34.2218	25.5241	34.4701	14.0641	23.2974	117.8189	167.8209	59.2774	75.8665	65.4802	69.2758	59.6295	96.1876	50.3465	26.7446	41.6802	26.3559
AY626840.1	11.4368	9.9628	5.2234	14.0155	2.2356	2.3099	3.0850	1.6581	128.4285	14.4942	16.0716	13.4161	12.1930	8.0507	0.8653	3.0026	52.3743	26.8580	0.4941	0.2735
DQ073104.1	46.4979	24.0136	9.0891	27.3407	58.8652	75.1576	69.4637	32.9616	56.6292	28.3600	93.7496	84.7019	60.1555	32.3694	20.0750	27.3109	65.5732	57.1134	56.3440	19.7650
DQ121374.1	0.0000	0.0000	0.0781	37.2698	91.6012	123.0194	37.7516	17.6882	0.0000	0.0000	0.0000	0.0000	0.0000	19.2520	14.6068	0.9104	0.0000	0.0000	16.5373	24.3562
DQ157765.1	20.9946	20.5126	11.7598	42.7094	18.4715	29.8854	28.3742	25.0578	116.0311	157.2065	116.5325	169.2760	90.0933	37.9758	33.2232	43.7555	64.9151	18.4933	41.9015	22.7271
DQ365888.1	0.4689	0.0000	0.0000	68.8509	4.5476	8.9939	33.0481	5.2689	1.1304	8.2504	167.3047	23.9853	2.0601	6.0172	38.1713	9.9244	87.7514	1.1302	4.6309	52.9079
EF073269.1	2.6914	1.8507	2.9644	6.8345	1.1838	1.2726	0.8150	1.0040	0.0694	0.0000	0.0773	0.8542	0.3307	3.3462	0.9674	0.4620	6.3682	1.9724	0.7124	0.8208
EF208559.1	1.0044	0.3758	0.5650	1.4239	0.1811	0.4997	0.2302	0.8635	3.5901	6.7585	2.0379	4.7564	3.5806	0.5954	0.7503	0.7907	2.4076	0.5760	0.6280	1.2461
EF364521.1	67428.5387	59926.8318	92611.3092	0.1026	0.0573	0.1942	0.1063	0.0000	0.0000	0.0000	0.0000	0.0000	0.5438	0.0000	0.2740	0.0000	14.7493	44878.2519	0.0000	0.0000
EF364552.1	211.8468	344.8643	191.0322	58.2491	35.6966	38.7184	43.7122	38.3480	8.3624	0.3740	56.7880	160.8636	0.7314	27.9083	2747.7466	30.9911	82.4563	241.1032	36.2963	35.7231
EL608988.1	3.3707	0.0000	1.5612	0.2631	0.0000	0.0000	0.2554	1.2165	0.0000	0.0000	0.0000	0.3883	0.2190	0.0000	1.1900	16.7240	1.8014	0.5486	0.2545	0.0000
EL608989.1	22.3169	16.0844	16.0747	2.4342	3.3364	2.2381	1.5496	0.9848	1.1142	0.4714	0.7297	1.2398	2.5649	0.6032	2.6048	2.3680	4.3780	26.0969	0.1618	2.4797
EL608991.1	1.4030	0.0000	0.0000	1.0681	1.2948	0.1901	0.0000	0.2998	19.6709	0.0000	8.0121	7.5764	0.0000	1.9123	0.9262	2.8868	0.3715	0.5765	1.5630	0.0000
EL608993.1	13.5523	5.6173	5.1965	213.3366	18.2624	13.0635	26.6159	19.6671	76.6377	16.0156	93.4886	72.0630	10.7599	594.1070	51.7113	27.7413	20.8493	35.2377	67.3641	15.4815
EL608994.1	0.0000	1.3105	0.0000	7.1125	6.1700	2.5246	2.4100	2.6109	3.4153	5.2557	0.0000	0.0000	3.8916	3.9424	7.1325	1.9403	2.1589	0.0000	6.6208	8.4778
EL608997.1	29.1549	27.6127	25.8128	25.1883	24.6915	21.8393	24.9634	22.2000	68.7174	70.9034	54.9667	70.5528	53.1520	18.4733	19.5931	23.1336	56.4195	32.7251	19.0192	19.6825
EL608998.1	21.7055	14.8844	13.0696	13.4412	7.9562	17.3203	8.5153	14.7843	20.9084	16.1426	22.9588	17.4297	18.2134	8.1011	8.7019	20.0683	16.4059	12.9312	5.9604	8.8978
EL608999.1	0.0000	1.8941	0.3541	2.1382	0.0000	0.0000	2.4540	0.0000	13.7760	0.9869	13.7916	0.0000	14.4450	0.2527	1.8721	2.2355	3.6637	0.0000	0.0000	3.3939
EL609000.1	10.4003	12.0778	8.0089	0.0000	0.2435	0.7000	0.8472	0.1582	20.3935	16.2367	39.0026	22.1609	15.1213	0.1727	0.8212	2.2250	5.6976	9.7787	0.0000	1.2256
EL609002.1	4.7016	5.0867	0.0000	3.3562	0.0000	0.0000	3.6010	0.0000	0.0000	1.8416	12.6854	0.0000	4.0189	0.0000	54.3274	0.0000	46.9119	5.6051	0.0000	0.0000
EL609003.1	55.8038	39.4527	20.0427	14.3639	8.8755	9.9568	16.2460	12.5937	34.1702	24.4641	20.8606	29.1414	19.2083	18.2387	16.2915	22.7796	62.5479	55.6633	28.3110	29.6801
EL609004.1	11.7888	0.3593	0.3330	34.7772	0.0000	0.0000	0.0000	0.2960	1.8764	1.0327	1.8420	0.5730	0.0000	12.4021	3.3140	0.4644	5.4610	0.2491	0.0000	4.6394
EL609005.1	0.0000	0.3890	0.0000	0.0000	0.0000	0.0000	0.8314	0.3687	3.2603	5.3086	0.0000	3.3021	9.4131	2.5434	0.0000	0.0000	1.9453	0.0000	0.0000	0.8687
EL609008.1	5.0646	10.8710	3.8381	42.7541	4.1940	9.1163	14.9287	8.2920	54.2624	31.0096	37.5585	19.3919	24.6048	39.9488	19.0800	28.1285	23.5012	6.7099	12.0655	14.2817
EL609010.1	15.6980	54.8686	19.1038	72.8449	20.2872	21.0914	38.2150	26.0489	5.0729	7.9473	26.4257	17.6490	11.2288	18.6257	24.4210	225.7328	50.3052	21.6450	40.9612	35.5835
EL609012.1	2.8182	9.3297	8.4461	7.7179	0.7318	2.6530	6.5356	0.0000	31.1921	18.2296	12.1886	15.9426	12.4929	8.0968	4.4427	8.7819	4.1867	1.5743	3.7158	5.1867
EL609013.1	4.4862	3.4412	1.1886	4.1496	1.1906	3.1099	2.0139	2.9065	0.0000	1.9111	1.5240	1.4522	0.0000	0.0000	2.6865	19.2101	6.7662	2.2918	5.4221	0.5892
EL609014.1	3.2472	0.7276	0.1823	4.0020	2.5200	2.5260	0.3585	0.4474	59.9553	0.0000	1.8446	32.7913	61.4661	6.9591	1.1411	0.8598	8.5674	7.5375	1.3317	5.0575
EL609017.1	30.3236	13.9678	10.2439	23.9090	21.4720	27.2594	16.8937	13.9263	128.9997	154.9252	101.1581	54.2878	91.2049	29.6397	68.5341	185.6412	53.9375	28.8154	21.6038	34.3286
EL609018.1	15.9892	6.4046	5.3088	19.2157	40.4344	27.9793	24.3462	21.8032	38.8546	20.4416	29.5409	38.5833	21.8321	16.8527	15.3811	17.5985	33.0733	16.1652	10.7580	15.7221
EL609020.1	115.2201	114.4015	63.6590	75.5019	127.2215	58.1765	53.6925	49.9820	84.8184	76.5405	83.0456	89.3178	102.5995	73.4373	63.8392	180.9898	103.6354	129.8178	79.2563	93.1988
EL609022.1	4.8708	8.3154	4.4706	1.8012	2.2281	1.0403	1.9794	2.0688	1.3269	3.0289	3.0232	1.3381	1.8913	1.2055	2.3856	2.1865	7.2060	6.9837	1.2107	3.2311
EL609023.1	26.4432	39.2761	19.7766	50.4929	57.9328	64.5198	49.4614	45.7585	65.5821	70.0878	85.6796	55.4907	67.8821	45.3053	64.5309	89.2760	69.5050	30.9277	65.0507	54.8982
EL609024.1	8.5237	0.5016	0.1376	0.5557	0.2271	0.1714	0.0000	0.0000	11.4481	3.9342	1.5783	3.7724	7.2739	2.7054	0.7446	15.4438	28.5879	6.7008	0.6913	0.0000
EL609028.1	10.0171	7.5097	4.0855	617.5798	24.2429	20.2222	30.1593	28.3167	77.2287	7.6425	130.3885	129.4626	47.3204	720.0163	38.5342	40.3296	68.6445	49.7324	132.8840	84.6130
EL609029.1	57.1770	50.8742	53.7092	123.3604	113.1358	107.6731	135.7079	114.4629	62.5789	72.8559	85.8503	44.3848	91.5748	138.5617	151.2903	113.7427	162.5721	108.6576	95.4845	140.5578
EL609032.1	3.3626	1.2376	0.5588	5.8037	3.5564	2.7742	2.3752	2.1902	0.8487	1.1352	1.8703	0.5130	0.6622	3.2147	4.7593	14.2226	7.1572	0.6896	0.7684	3.8773
EL609033.1	39.2994	45.9079	54.8234	8.5647	4.9675	4.3341	7.2206	4.8023	20.2299	14.1961	21.3947	19.8530	12.5612	7.0934	4.0723	10.5988	18.6933	43.7839	2.2319	5.0710
EL609039.1	0.1942	5.3083	2.9653	7.7459	13.8397	0.0000	5.6375	5.9431	0.0000	83.3731	58.4532	45.1329	47.8343	0.0000	49.2544	66.3759	109.5198	5.3403	17.6637	6.7085
EL609040.1	12.1514	7.4729	5.8910	44.0172	63.2089	50.8675	57.0634	68.3846	18.0192	23.5493	17.8465	9.7428	14.6612	41.6378	66.5760	60.7416	17.0250	5.3505	57.4655	117.3180
EL609042.1	7.8982	5.5029	2.1642	12.1866	2.0242	4.8983	3.6562	1.2118	25.1132	28.2452	21.0798	10.2015	34.6720	12.9259	14.4782	6.2206	12.7165	1.2059	21.5067	10.3786
EL609043.1	5.0467	2.0159	1.7573	2.9617	0.2569	0.8296	1.3701	1.3193	7.3726	1.3177	2.8240	3.7052	1.3071	1.0163	1.5038	20.0831	8.0127	3.7158	0.2757	0.9671
EL609046.1	80.1847	12.9353	16.3514	69.3999	123.6717	147.6576	101.6816	104.2311	591.5196	766.0812	682.9540	505.9721	764.8631	76.6259	53.2429	171.9387	656.3848	110.8208	55.2958	78.3071
EL609047.1	0.9603	1.8427	0.4108	1.0958	0.4115	0.0000	5.7830	2.9928	17.0196	2.3241	9.6449	7.1787	2.3178	57.1742	5.5556	2.3974	0.0000	1.5528	5.7706	2.2012
EL609048.1	1.3256	1.6306	0.7939	2.5416	0.2621	0.7187	0.1356	1.0956	5.5821	2.8892	7.0050	4.7583	4.2403	0.8245	0.8218	7.3133	3.2772	0.1186	0.1566	0.0000
EL609049.1	1.6026	2.8049	0.5569	0.0000	2.5397	5.0942	0.0000	0.8681	0.0000	0.0000	0.0000	4.2921	16.7646	0.0000	0.6975	0.0000	2.8743	0.0000	0.0000	0.0000
EL609055.1	5.4440	7.2055	0.0000	5.8415	7.6746	8.8588	4.9775	0.0000	0.4957	4.9585	5.6844	10.4245	4.2372	0.0000	4.2221	3.6273	10.5264	10.1177	9.2634	1.8153
EL609057.1	0.5858	0.0000	14.5803	0.4241	1.4532	0.0000	0.0000	3.3039	0.0000	26.5316	17.8935	7.1241	18.5430	0.0000	13.7408	3.2022	2.4769	19.2740	4.4011	7.9273
EL609060.1	6.5149	4.2281	3.3355	5.8664	3.8612	3.8242	2.1289	5.0960	31.8810	29.9988	31.9245	35.5014	33.5256	6.2802	10.2241	10.1404	8.9907	2.0506	4.0177	3.9616
EL609061.1	21.4134	15.7031	11.9653	5.0237	7.4015	2.7752	5.4010	3.7650	11.3399	14.2250	7.7849	12.5498	9.1803	8.3428	7.8462	11.8706	20.9151	14.4736	9.2368	11.6727
EL609062.1	24.2196	26.6523	14.6434	2.4771	0.4409	1.7305	0.5494	2.8090	2.9557	4.9692	12.5954	0.0000	1.0556	0.0000	3.0897	2.8099	12.9375	20.4946	0.0000	0.4818
EL609064.1	107.6156	59.1008	20.0724	159.5260	421.9849	156.5712	142.8475	63.8050	285.2644	122.5073	303.5102	327.0941	323.6184	197.6516	201.0747	420.0971	138.4811	116.0218	412.2622	307.9827
EL609066.1	16.2433	1.7976	4.3215	26.2782	0.0612	23.7324	4.5287	11.5325	2.8146	0.0000	3.2673	0.0000	0.0000	36.4777	0.0000	32.9233	24.1379	0.1008	0.0000	0.0000
EL609067.1	87.2381	134.5408	66.0805	18.2117	16.6820	10.3669	13.8462	10.6622	72.1296	54.4001	76.9892	74.0017	58.0619	6.6304	42.7755	32.2239	103.1966	118.8186	8.8117	8.8316
