SRR	weight_gain	sex_male	tissue_hepatopancreas	tissue_ovary
SRR21374326	2.61	1	0	0
SRR21374327	2.83	1	0	0
SRR21374328	2.05	1	0	0
SRR21374329	2.77	1	1	0
SRR21374330	2.83	1	1	0
SRR21374331	1.61	1	1	0
SRR21374332	3.69	1	1	0
SRR21374333	2.06	1	1	0
SRR21374334	7.52	0	0	1
SRR21374335	4.98	0	0	1
SRR21374336	3.95999999999999	0	0	1
SRR21374337	5.70999999999999	0	0	1
SRR21374338	2.14	0	0	1
SRR21374339	4.45	0	1	0
SRR21374340	7.21000000000001	0	1	0
SRR21374341	7.05	0	1	0
SRR21374342	2.74	1	0	0
SRR21374343	1.48	1	0	0
SRR21374344	6.78	0	1	0
SRR21374345	4.33	0	1	0
