gene	module	kME	trait_cor
XM_067121597.1	M17	-0.5581	NA
JP351676.1	M17	-0.448	NA
JP353821.1	M17	-0.4028	NA
OP136990.1	M17	-0.3577	NA
AB056458.1	M17	-0.3422	NA
XM_067105998.1	M1	-0.5373	NA
XM_067105678.1	M1	-0.5345	NA
XM_067129329.1	M1	-0.5331	NA
EL695513.1	M1	-0.529	NA
XM_067109715.1	M1	0.5277	NA
JP353022.1	M1	-0.5236	NA
XM_067116777.1	M1	-0.5196	NA
JP353849.1	M1	-0.5185	NA
JP352991.1	M1	-0.5128	NA
XM_067104822.1	M1	-0.5056	NA
XM_067115469.1	M1	-0.5001	NA
XM_067098946.1	M1	-0.5	NA
XM_067091224.1	M1	-0.497	NA
XM_067123899.1	M1	-0.4957	NA
XM_067105259.1	M1	-0.4924	NA
JP354025.1	M1	-0.4923	NA
XM_067116646.1	M1	-0.4889	NA
GH625922.1	M1	-0.4861	NA
GH625019.1	M1	-0.4859	NA
XM_067133161.1	M1	-0.4852	NA
XM_067082913.1	M1	-0.4846	NA
JP353483.1	M1	-0.4815	NA
XM_067118354.1	M1	-0.4805	NA
XM_067129582.1	M1	-0.4783	NA
XM_067124610.1	M1	-0.4777	NA
JP353905.1	M1	-0.476	NA
XM_067087852.1	M1	-0.4749	NA
XM_067134112.1	M1	-0.4722	NA
JP355289.1	M1	-0.4716	NA
XM_067104450.1	M1	-0.4708	NA
XM_067117989.1	M1	-0.4707	NA
XM_067112746.1	M1	-0.4694	NA
XM_067110567.1	M1	-0.4676	NA
XM_067097725.1	M1	-0.4649	NA
GH625857.1	M1	-0.4645	NA
XM_067123035.1	M1	-0.4641	NA
XM_067125903.1	M1	-0.4636	NA
XM_067108989.1	M1	-0.4624	NA
XM_067118767.1	M1	-0.4621	NA
HF934955.1	M1	-0.4601	NA
XM_067097844.1	M1	-0.4587	NA
XM_067104937.1	M1	-0.4587	NA
XM_067123453.1	M1	-0.4559	NA
XM_067097506.1	M1	-0.4556	NA
XM_067100597.1	M1	-0.4555	NA
JP353102.1	M1	-0.455	NA
EL609715.1	M1	-0.4549	NA
XM_067093137.1	M1	-0.4545	NA
XM_067093913.1	M1	0.4533	NA
EL696538.1	M1	0.4525	NA
XM_067117121.1	M1	-0.4517	NA
JK502159.1	M1	-0.4516	NA
