gene	module	kME	trait_cor
XM_067123818.1	M14	0.7189	NA
XM_067123226.1	M14	0.6959	NA
XM_067127897.1	M14	0.683	NA
XM_067091636.1	M14	0.6794	NA
PZ246843.1	M14	0.6375	NA
XM_067124725.1	M14	0.6212	NA
XM_067082281.1	M14	0.6115	NA
XM_067124046.1	M14	0.6062	NA
XM_067105771.1	M14	0.5987	NA
XM_067104894.1	M14	0.5865	NA
XM_067086867.1	M14	0.585	NA
KJ631065.1	M14	0.5714	NA
XM_067086499.1	M14	0.5714	NA
XM_067129766.1	M1	0.999	NA
XM_067108554.1	M1	0.9989	NA
JP355285.1	M1	0.9985	NA
XM_067109009.1	M1	0.9978	NA
XM_067111451.1	M1	0.9978	NA
XM_067116517.1	M1	0.9976	NA
XM_067115605.1	M1	0.9974	NA
JP355577.1	M1	0.9974	NA
JP355721.1	M1	0.9973	NA
XM_067083092.1	M1	0.9972	NA
XM_067096226.1	M1	0.9969	NA
XM_067125657.1	M1	0.9969	NA
XM_067083796.1	M1	0.9968	NA
XM_067082925.1	M1	0.9967	NA
XM_067100260.1	M1	0.9967	NA
XM_067094937.1	M1	0.9967	NA
XM_067088191.1	M1	0.9965	NA
XM_067085752.1	M1	0.9963	NA
JP355677.1	M1	0.9963	NA
JP355190.1	M1	0.9962	NA
XM_067122702.1	M1	0.9962	NA
XM_067087812.1	M1	0.9961	NA
XM_067128530.1	M1	0.996	NA
XM_067111843.1	M1	0.9958	NA
XM_067118797.1	M1	0.9957	NA
XM_067116216.1	M1	0.9957	NA
XM_067121371.1	M1	0.9956	NA
XM_067101519.1	M1	0.9956	NA
XM_067096114.1	M1	0.9955	NA
XM_067085507.1	M1	0.9955	NA
XM_067127106.1	M1	0.9954	NA
XM_067111546.1	M1	0.9953	NA
XM_067092941.1	M1	0.9953	NA
XM_067090412.1	M1	0.9952	NA
XM_067129576.1	M1	0.9952	NA
XM_067133395.1	M1	0.9952	NA
XM_067107898.1	M1	0.9951	NA
XM_067133182.1	M1	0.9951	NA
JP353175.1	M1	0.9951	NA
JP354872.1	M1	0.9951	NA
XM_067097624.1	M1	0.995	NA
JP353108.1	M1	0.995	NA
XM_067086191.1	M1	0.995	NA
XM_067114507.1	M1	0.9949	NA
XM_067119850.1	M1	0.9949	NA
XM_067101778.1	M1	0.9948	NA
XM_067121057.1	M1	0.9948	NA
XM_067125410.1	M1	0.9948	NA
XM_067092260.1	M1	0.9948	NA
XM_067097716.1	M1	0.9948	NA
JP353741.1	M1	0.9947	NA
XM_067119845.1	M1	0.9947	NA
XM_067134249.1	M1	0.9947	NA
XM_067125648.1	M1	0.9946	NA
XM_067114868.1	M1	0.9946	NA
XM_067130593.1	M1	0.9944	NA
XM_067118457.1	M1	0.9943	NA
XM_067097563.1	M1	0.9943	NA
XM_067133497.1	M1	0.9942	NA
XM_067102176.1	M1	0.9942	NA
XM_067083050.1	M1	0.9941	NA
XM_067122155.1	M1	0.9941	NA
XM_067096238.1	M1	0.9941	NA
XM_067087121.1	M1	0.9941	NA
JP354474.1	M1	0.9941	NA
XM_067086987.1	M1	0.9941	NA
XM_067132885.1	M1	0.994	NA
XM_067128278.1	M1	0.994	NA
XM_067102689.1	M1	0.994	NA
XM_067094226.1	M1	0.994	NA
XM_067131155.1	M1	0.994	NA
JP355487.1	M1	0.9939	NA
XM_067121622.1	M1	0.9939	NA
XM_067086986.1	M1	0.9939	NA
XM_067093925.1	M1	0.9939	NA
XM_067122161.1	M1	0.9937	NA
XM_067122699.1	M1	0.9937	NA
XM_067132329.1	M1	0.9936	NA
XM_067114800.1	M1	0.9936	NA
JP354224.1	M1	0.9935	NA
XM_067124468.1	M1	0.9935	NA
XM_067120395.1	M1	0.9935	NA
XM_067084069.1	M1	0.9935	NA
JP354791.1	M1	0.9934	NA
XM_067109950.1	M1	0.9934	NA
XM_067130551.1	M1	0.9934	NA
