ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11	ME12	ME13	ME14	ME15	ME16	ME17	ME18	ME19	ME20
SRR21374326	-0.128272530746399	-0.169268138190209	-0.1629722607093	-0.107815057474319	-0.13228155122432	-0.0708904630592829	-0.0647925520518335	-0.0512344437992587	0.366091994419668	0.400596616576195	0.288819368636539	-0.0502919340901195	-0.0253326469489561	-0.0562937976447891	-0.0570058221834834	-0.0778862500640925	0.236771853455275	0.16833423755238	0.0968989757740693	0.221516455098263
SRR21374327	-0.143585868080336	-0.174422385809598	-0.165415105183744	-0.118717609214886	-0.200062316232098	-0.101677799936106	-0.135683711286603	-0.103850728986023	0.066687037981004	0.560400094476511	0.333299346785698	-0.0270125973937759	-0.0133900691538078	-0.107515817548018	-0.0449517689090837	-0.139427884816869	0.200825608668344	-0.0315583347535275	-0.0549645577850172	0.268812910624943
SRR21374328	-0.133879705452451	-0.212797096351236	-0.180687180650194	-0.14865324833295	-0.289381045500343	-0.0938374440804409	-0.165134614656241	-0.126234638169751	0.0341303548419474	0.2636001321431	0.075421824808613	-0.0833375762849741	-0.0430289689118753	-0.344205036516927	-0.101057669201398	-0.218971129467572	-0.0840319188908179	-0.103027808282627	-0.0980499333923917	0.18002706798457
SRR21374329	0.0410844893256108	0.19514980808494	0.590482333406975	0.286419294539942	-0.0859738188877617	-0.0754913674507881	-0.142670716638393	-0.106170672588084	-0.130322933321497	-0.123061180250986	-0.17870171933513	-0.065214315620619	-0.0456490174200765	-0.0764060043845689	0.0269779856168849	-0.0891553650579651	0.0251197191759009	-0.0601449432785115	0.0174123655305972	0.213872587193675
SRR21374330	0.00970164763144495	0.667100923255597	0.0117755660709706	0.0665105336028965	0.709446574585765	-0.0518363815314556	-0.0853283794629672	-0.0703975570966033	-0.00265000676517214	-0.0455379201101922	-0.100312330470219	-0.0410859623919293	-0.0597570621550202	0.132079220680017	0.0357989380984463	0.0415489351266361	0.48419817826838	0.0541463500482685	0.0216946541667041	0.122670389671497
SRR21374331	-0.0502445583601948	0.234917282595631	-0.0378798537809561	-0.058765259790909	0.0515516639028661	-0.0931422782771489	-0.17131218648786	-0.166531741637874	-0.102736622548937	-0.16337600263736	-0.219792133118268	-0.0978107382139953	-0.071594134351467	-0.137677646085831	-0.0630679387380244	-0.181286049583916	-0.0271853367957219	-0.127107883050834	-0.119338012867189	0.164962343439509
SRR21374332	-0.0843250832228743	0.163767407040267	-0.0489450443197681	-0.061597713646526	-0.0240973263502875	-0.0987119626608981	-0.18220141918151	-0.176958319219013	-0.132881099806211	-0.167846729303159	-0.230832651868838	-0.0991877391024939	-0.0791288724294203	-0.20159810277246	-0.0810301848634846	-0.212529445569246	-0.0654474040962155	-0.152206334605709	-0.107463929691546	0.196937922645727
SRR21374333	-0.0663268466211627	0.220689087229581	-0.00939207769433439	-0.0814048592000099	-0.0422778364928208	-0.0851290840272365	-0.171345769101644	-0.152457309618743	-0.11932291094136	-0.160045631734017	-0.221035372260359	-0.0917699608857718	-0.0800909139449139	-0.254658513880615	-0.0671148171406963	-0.187532291254437	-0.0295617480839354	-0.129013313839404	-0.105499102750552	0.225242132566644
SRR21374334	-0.107202405766943	-0.200763795836245	-0.161574594798257	-0.0766267270008682	0.154218468498866	0.125792654915197	0.347989902292479	-0.0329410359865209	-0.023712648404809	-0.118104593250381	0.093064416908533	-0.0967525865225473	-0.0845432641980005	-0.143391673927819	-0.092000316616969	0.152301111874988	-0.231794315459291	-0.0319217279288175	-0.115954220782393	-0.420424314377786
SRR21374335	-0.119344196827007	-0.224920015811649	-0.173659383885163	-0.137113074390253	0.107501989184721	0.0245982835781685	0.34280673706205	-0.019203063640839	-0.0974312250048103	-0.155671563462812	-0.0199497111863603	-0.10053350767395	-0.0788709725528116	-0.327030807149022	-0.123892392440821	0.062908468079683	-0.324885468240162	-0.0554392799937565	-0.163655580848445	-0.359111717521335
SRR21374336	-0.0854971095983782	-0.154913461341521	-0.148104910319672	-0.00063051251906294	0.252114248213247	0.0517585115173389	0.462076149967506	0.415511372514942	-0.0866480530648442	-0.0788299576044388	0.430803385730798	-0.051188272003905	-0.0239071340798925	0.235281317974802	0.00448027288757227	0.368350836256121	0.067335814675324	0.0513085496941778	-0.0342979007908558	-0.229975477322515
SRR21374337	-0.135975451743484	-0.211850100717164	-0.171355461341031	-0.103979781275252	0.0852894778629783	0.0303905394205031	0.272919123211823	0.0102463490936282	-0.0867095968607005	-0.132473438239304	0.0471622613054032	-0.082591274635094	-0.0574006368816977	-0.178357346542671	-0.0989250441259789	0.0883011345247163	-0.265836628093258	-0.0653541418651592	-0.130707476001535	-0.425687109262468
SRR21374338	-0.0155304294703597	-0.173267213133096	-0.15442089822398	-0.100495628746432	0.219547744456753	0.938088211026875	0.398716785302548	0.58627700162234	-0.0437259785113148	-0.0862511686504375	0.186417022978152	-0.0628775808937058	-0.0652609794439088	0.262879934307891	-0.0745885916520623	0.264416843801682	-0.14497825245874	0.0278007886642914	-0.104345122942539	-0.3328016618418
