ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11	ME12	ME13	ME14	ME15	ME16	ME17	ME18	ME19
SRR21374333	-0.212900621522672	-0.151565652107967	-0.228657332814697	-0.180322306733387	-0.163962226848304	-0.125728419085719	-0.0567944275661926	-0.0537490280532759	-0.23634379674957	0.00259019348443021	0.338031534045741	0.109299713475559	0.673407818590063	0.622220068835817	0.938285883155447	-0.106867284669512	-0.105652882501687	-0.149263280389752	-0.107167504113539
SRR21374337	0.486694064528637	-0.194493609238444	0.080152671494742	-0.115564826581433	-0.175343917154058	-0.0995667496903989	-0.200741540359662	-0.319661698974508	-0.0224031897879023	-0.399102107589968	-0.375077570136599	-0.512137239871365	-0.365472293040984	-0.338168817736377	-0.142796298319797	-0.257720677029275	-0.327175406951064	-0.177114719427636	0.62240150558368
SRR21374338	0.712434107483666	0.773322387351903	0.194349173818695	-0.0348006665114827	-0.151472913613853	-0.077931264536282	-0.122159047957376	-0.228082744155821	0.323216263547481	-0.370971743708822	-0.336455507434214	-0.537074650876931	-0.33032259809668	-0.319573033447112	-0.0785709701392281	-0.158640385220514	-0.30820206404489	-0.174500405165914	-0.50989821244321
SRR21374339	-0.210917971909626	-0.142538237217262	-0.236920426893146	-0.204138871318149	-0.181497200933764	-0.144150838786512	-0.0850388118666419	-0.183929666791049	-0.274749271896151	0.20010998196719	0.171785255507235	0.0431553091349326	-0.151205615775512	0.204229641957644	-0.0656180718551129	0.0494948608507683	0.407102500540816	0.92307257259579	-0.132938499866834
SRR21374340	-0.176771868119408	-0.114054617405329	-0.141402246292857	-0.110011865075316	0.614540461978086	0.943549725309855	-0.0327553140805784	-0.0226305112900224	-0.152745815499576	0.158865213172123	0.172068395188679	0.0566263322945446	0.0336607208275407	0.277234344015479	-0.0346407009449521	0.102462944326081	0.496545706093839	0.0105091623038384	-0.0903802463090304
SRR21374341	-0.103902743079171	0.440011798839119	-0.0945018668853459	-0.00141223821041261	-0.138656486292333	-0.102935270605733	0.938781249083396	0.538133091088779	0.600281053782078	0.463416385779463	0.540379661412589	0.452005307991204	-0.125256361971851	-0.180472892845903	-0.109952982849083	-0.0521983289629725	-0.167143703598325	0.0556964638925406	0.447057856917046
SRR21374342	0.0697473538987822	-0.0637177401793017	0.817926744887095	0.204226655701764	0.648139609700021	-0.0331058998466824	-0.0683689341579934	0.643940421798534	0.414573584025407	-0.321452813008199	-0.346897188060104	0.337568772583254	0.335265932691326	-0.288119487805917	-0.162893765207469	-0.219692655675362	-0.261278885495783	-0.108842156475991	-0.0373172386711178
SRR21374343	-0.0970597581979064	-0.165733905637971	0.125262675908993	0.874079481070251	-0.120289483353907	-0.0819543985225895	-0.131733296118499	0.062001378006164	-0.0122635081284059	0.525778548495729	-0.363732880791181	-0.256808765761681	0.287584894794524	-0.317044236800559	-0.193319151734031	-0.250109924727401	-0.294460449287062	-0.146762606660843	0.0457547882361765
SRR21374344	-0.244359695659867	-0.261469253058354	-0.274419083729347	-0.222387017355503	-0.173257411260879	-0.134582162900439	-0.140909949892548	-0.270046745968145	-0.361445680955854	-0.199179098572934	0.0363002227675928	0.133657489495959	-0.229249533901394	0.214523738781606	-0.0859513365057202	0.0156294480872878	0.411768370976575	-0.107962346926462	0.0858668251259294
SRR21374345	-0.222962867422434	-0.119761171346392	-0.241790309494132	-0.209668344986333	-0.158200432221008	-0.143594721335501	-0.100279927083906	-0.165974495660657	-0.278119638337506	-0.0600545600190122	0.163598077500262	0.173707731534525	-0.128412964117032	0.125170675045322	-0.0645426056000542	0.877642003020901	0.14849681426758	-0.124832683745572	-0.323379274459102
