ASV,Jumper,Laggard
Acinetobacter chinensis,0,1
Acinetobacter indicus,0,2
Aeromonas dhakensis,0,9
Aeromonas lusitana,0,6
Agarivorans gilvus,1,0
Alcanivorax jadensis,1,0
Anatilimnocola aggregata,0,1
Arcticibacterium luteifluviistationis,9,0
Azomonas agilis,0,1
Azotobacter nigricans,0,1
Brachybacterium aquaticum,0,2
Brenneria rubrifaciens,0,1
Brevundimonas aurantiaca,0,5
Brevundimonas kwangchunensis,0,1
Buchnera aphidicola,1,0
Citrobacter bitternis,1,0
Citrobacter freundii,0,4
Citrobacter koseri,13,2
Cronobacter muytjensii,2,1
Cupriavidus necator,0,7
Cupriavidus plantarum,0,2
Cupriavidus yeoncheonensis,0,1
Cutibacterium acnes,0,91
Cutibacterium namnetense,0,9
Cyclobacterium qasimii,1,0
Dyadobacter sediminis,1,0
Emticicia soli,3,0
Endothiovibrio diazotrophicus,15,0
Enterobacter asburiae,1,0
Enterobacter cloacae,0,1
Enterobacter mori,1,1
Entomohabitans teleogrylli,0,2
Entomomonas moraniae,0,1
Erwinia piriflorinigrans,3,1
Exiguobacterium aestuarii,1,20
Exiguobacterium alkaliphilum,0,3
Exiguobacterium marinum,0,3
Exiguobacterium undae,0,1
Flavobacterium caeni,0,1
Flavobacterium dongtanense,0,1
Flavobacterium enshiense,0,1
Flavobacterium haoranii,3,12
Flavobacterium jumunjinense,8,0
Flavobacterium luticocti,0,1
Flavobacterium palustre,0,1
Flavobacterium phocarum,1,0
Flavobacterium silvisoli,2,0
Flavobacterium xanthum,0,1
Fluviimonas pallidilutea,1,0
Franconibacter helveticus,2,0
Gemmata massiliana,0,1
Haliea alexandrii,1,0
Haloferula luteola,1,0
Halopseudomonas pelagia,0,1
Hansschlegelia beijingensis,0,1
Insectihabitans xujianqingii,1,0
Janibacter endophyticus,0,2
Jiulongibacter sediminis,298,17
Klebsiella quasipneumoniae,1,0
Klebsiella quasivariicola,1,0
Klebsiella variicola,34,9
Kluyvera ascorbata,2,0
Kluyvera georgiana,2,2
Kosakonia arachidis,0,1
Kytococcus sedentarius,1,0
Leclercia pneumoniae,4,3
Lewinella cohaerens,0,2
Limnoglobus roseus,0,1
Luminiphilus syltensis,0,1
Luteimonas abyssi,0,1
Lysobacter brunescens,0,5
Mangrovibacter plantisponsor,1,0
Maribius pelagius,1,0
Mariniblastus fucicola,3,12
Marivita roseacus,2,1
Massilia agri,0,4
Massilia alkalitolerans,0,2
Massilia arenae,0,11
Massilia arvi,0,1
Massilia haematophila,0,3
Massilia niastensis,0,6
Massilia norwichensis,0,1
Massilia pinisoli,0,1
Massilia rhizosphaerae,0,1
Massilia terrae,0,8
Massilia yuzhufengensis,0,1
Mesorhizobium septentrionale,1,0
Methylococcus capsulatus,2,0
Methylotenera mobilis,1,0
Methylovulum psychrotolerans,0,1
Moraxella atlantae,0,2
Moraxella lacunata,0,2
Moraxella osloensis,1,35
Moritella profunda,0,1
Mucilaginibacter koreensis,1,1
Novispirillum itersonii,1,0
Pantoea agglomerans,2,0
Pantoea alhagi,0,1
Pantoea dispersa,3,0
Paraburkholderia pallida,0,1
Paracoccus salipaludis,1,0
Pectobacterium cacticida,17,14
Pectobacterium polaris,3,0
Pelagerythrobacter marensis,1,0
Peptoniphilus faecalis,1,0
Phaeocystidibacter luteus,1,0
Phaeodactylibacter luteus,3,0
Phycisphaera mikurensis,2,0
Phytobacter diazotrophicus,1,0
Pluralibacter pyrinus,2,2
Pontibacter roseus,1,0
Proteus faecis,3,0
Providencia stuartii,1,3
Pseudoalteromonas arabiensis,1,0
Pseudoalteromonas fenneropenaei,2,0
Pseudoalteromonas luteoviolacea,1,0
Pseudoalteromonas peptidolytica,1,0
Pseudoalteromonas phenolica,10,0
Pseudoalteromonas telluritireducens,1,0
Pseudoalteromonas translucida,1,0
Pseudoalteromonas xiamenensis,1,0
Pseudomonas aeruginosa,0,8
Pseudomonas alcaligenes,2,5
Pseudomonas alkylphenolica,0,13
Pseudomonas alloputida,0,1
Pseudomonas arcuscaelestis,2,0
Pseudomonas azotoformans,0,13
Pseudomonas bijieensis,0,3
Pseudomonas carbonaria,0,1
Pseudomonas caricapapayae,0,2
Pseudomonas delhiensis,0,2
Pseudomonas duriflava,0,1
Pseudomonas extremorientalis,0,1
Pseudomonas fluvialis,0,2
Pseudomonas frederiksbergensis,0,1
Pseudomonas guangdongensis,0,4
Pseudomonas humi,0,3
Pseudomonas luteola,0,2
Pseudomonas marincola,0,6
Pseudomonas massiliensis,0,2
Pseudomonas mediterranea,0,1
Pseudomonas mendocina,0,3
Pseudomonas mucidolens,0,2
Pseudomonas oleovorans,0,3
Pseudomonas oryzae,0,1
Pseudomonas oryzihabitans,0,19
Pseudomonas pharmacofabricae,0,1
Pseudomonas phenolilytica,0,1
Pseudomonas psychrophila,0,1
Pseudomonas putida,0,1
Pseudomonas saponiphila,1,0
Pseudomonas savastanoi,0,4
Pseudomonas schmalbachii,0,2
Pseudomonas seleniipraecipitans,0,2
Pseudomonas syringae,0,2
Pseudomonas tarimensis,0,1
Pseudomonas tianjinensis,1,2
Pseudomonas tolaasii,0,1
Pseudomonas viridiflava,0,4
Pseudomonas zeshuii,0,4
Rahnella aceris,1,1
Rahnella bonaserana,0,1
Rahnella inusitata,4,0
Ralstonia pickettii,2,0
Raoultella electrica,2,0
