taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
0	0	1	0.0	0.1965	-1.5165	-1.3493	-6.2903	2.2998	2.1495	0.239	0.761	Laggard-exclusive (low-count)	False	20000	Acinetobacter chinensis
1	0	2	0.0	0.3929	-2.2349	-2.0425	-6.8133	1.1966	2.0359	0.1155	0.8844	Laggard-exclusive (low-count)	False	20000	Acinetobacter indicus
2	0	9	0.0	1.7682	-4.1619	-3.8779	-8.7073	-1.2628	1.8899	0.001	0.999	Laggard-enriched	True	20000	Aeromonas dhakensis
3	0	6	0.0	1.1788	-3.6302	-3.3653	-8.1362	-0.6328	1.9164	0.0053	0.9948	Laggard-enriched	True	20000	Aeromonas lusitana
4	1	0	0.1862	0.0	1.3471	1.1885	-2.4973	6.0689	2.1481	0.7378	0.2622	Jumper-exclusive (low-count)	False	20000	Agarivorans gilvus
5	1	0	0.1862	0.0	1.343	1.1984	-2.4853	6.1642	2.1514	0.7365	0.2636	Jumper-exclusive (low-count)	False	20000	Alcanivorax jadensis
6	0	1	0.0	0.1965	-1.525	-1.3484	-6.3444	2.3129	2.1746	0.2344	0.7656	Laggard-exclusive (low-count)	False	20000	Anatilimnocola aggregata
7	9	0	1.676	0.0	4.0039	3.7275	1.1012	8.4151	1.8742	0.9992	0.0008	Jumper-enriched	True	20000	Arcticibacterium luteifluviistationis
8	0	1	0.0	0.1965	-1.5228	-1.3665	-6.2591	2.295	2.1393	0.2327	0.7673	Laggard-exclusive (low-count)	False	20000	Azomonas agilis
9	0	1	0.0	0.1965	-1.5249	-1.3689	-6.2111	2.3352	2.1546	0.2355	0.7645	Laggard-exclusive (low-count)	False	20000	Azotobacter nigricans
10	0	2	0.0	0.3929	-2.2148	-2.0084	-6.9555	1.2416	2.0403	0.1164	0.8835	Laggard-exclusive (low-count)	False	20000	Brachybacterium aquaticum
11	0	1	0.0	0.1965	-1.5366	-1.3769	-6.3932	2.3116	2.1661	0.2349	0.7651	Laggard-exclusive (low-count)	False	20000	Brenneria rubrifaciens
12	0	5	0.0	0.9823	-3.3588	-3.0968	-7.9082	-0.3071	1.9216	0.0134	0.9867	Laggard-enriched	True	20000	Brevundimonas aurantiaca
13	0	1	0.0	0.1965	-1.5009	-1.3353	-6.2652	2.3048	2.1516	0.2401	0.76	Laggard-exclusive (low-count)	False	20000	Brevundimonas kwangchunensis
14	1	0	0.1862	0.0	1.348	1.1903	-2.5223	6.1491	2.1742	0.7337	0.2663	Jumper-exclusive (low-count)	False	20000	Buchnera aphidicola
15	1	0	0.1862	0.0	1.387	1.2096	-2.4874	6.2724	2.1927	0.7403	0.2596	Jumper-exclusive (low-count)	False	20000	Citrobacter bitternis
16	0	4	0.0	0.7859	-3.0706	-2.8355	-7.5969	0.0431	1.938	0.027	0.973	Laggard-enriched	False	20000	Citrobacter freundii
17	13	2	2.4209	0.3929	2.3461	2.2595	0.6454	4.4998	0.9801	0.997	0.0031	Jumper-enriched	True	20000	Citrobacter koseri
18	2	1	0.3724	0.1965	0.6294	0.5745	-2.1897	3.6948	1.475	0.6661	0.334	Jumper-leaning (uncertain)	False	20000	Cronobacter muytjensii
19	0	7	0.0	1.3752	-3.8027	-3.5528	-8.3407	-0.7938	1.9083	0.0035	0.9965	Laggard-enriched	True	20000	Cupriavidus necator
20	0	2	0.0	0.3929	-2.2316	-2.0169	-6.9177	1.1948	2.0429	0.1161	0.8839	Laggard-exclusive (low-count)	False	20000	Cupriavidus plantarum
