pc	variance_explained_pct	cumulative_pct	r_weight_gain	r_sex	r_tissue	removed
1	46.94	46.94	-0.1723	0.4316	-0.481	True
2	15.12	62.06	-0.4596	0.5627	0.8686	True
3	6.26	68.32	0.1339	-0.047	-0.0166	False
4	5.23	73.55	-0.3083	0.2828	-0.0588	False
5	4.18	77.73	0.4557	-0.5688	-0.0416	True
6	2.77	80.49	0.2561	-0.0144	-0.0347	False
7	2.28	82.77	0.0252	0.1465	0.0343	False
8	2.15	84.92	0.2776	0.0534	-0.0188	False
9	1.99	86.91	0.155	0.0047	-0.0336	False
10	1.86	88.77	-0.016	-0.0446	0.0244	False
11	1.74	90.51	-0.0275	0.0598	0.0197	False
12	1.63	92.15	-0.3177	0.1564	0.0472	False
13	1.55	93.7	0.0886	0.0013	0.033	False
14	1.41	95.11	0.2009	-0.1471	0.004	False
15	1.28	96.39	0.1926	-0.1036	-0.0055	False
16	1.06	97.45	0.2096	0.0406	-0.0051	False
17	0.98	98.43	-0.0066	-0.0484	-0.0116	False
18	0.82	99.24	-0.1646	-0.0094	0.0019	False
19	0.76	100.0	0.113	-0.0164	-0.0182	False
20	0.0	100.0	-0.163	0.1969	-0.1447	False
