section	old	new	agreement	detail
coverage	Hand-curated genus->function map annotated 74/191 taxa.	KEGG GENOME resolved for 171/190 taxa (reads: 200/532 Jumper, 481/507 Laggard).	replacement	19 taxa lack any KEGG GENOME entry (e.g. Jiulongibacter sediminis, 298 Jumper reads). Their functions are absent from the new profiles; this is reported, not imputed.
category::chitin_degrader	13 taxa assigned 'chitin_degrader'; directions: {'Jumper-exclusive': 11, 'Laggard-exclusive': 2}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00520 Amino sugar and nucleotide sugar metabolism: J=5.00e-03, L=1.38e-02, log2(J/L)=-1.46 (DESCRIPTIVE, n=1 pooled)
category::nitrogen_metabolism	1 taxa assigned 'nitrogen_metabolism'; directions: {'Laggard-exclusive': 1}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00910 Nitrogen metabolism: J=2.37e-03, L=7.86e-03, log2(J/L)=-1.73 (DESCRIPTIVE, n=1 pooled)
category::protein_fermenter	39 taxa assigned 'protein_fermenter'; directions: {'Laggard-exclusive': 35, 'Jumper-exclusive': 2, 'Laggard-enriched': 2}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00250 Alanine, aspartate and glutamate metabolism: J=4.28e-03, L=1.20e-02, log2(J/L)=-1.48; map00260 Glycine, serine and threonine metabolism: J=5.14e-03, L=1.49e-02, log2(J/L)=-1.54; map00970 Aminoacyl-tRNA biosynthesis: J=1.47e-02, L=3.99e-02, log2(J/L)=-1.44 (DESCRIPTIVE, n=1 pooled)
category::vitamin_synthesis	10 taxa assigned 'vitamin_synthesis'; directions: {'Laggard-exclusive': 6, 'Jumper-exclusive': 3, 'Laggard-enriched': 1}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00790 Folate biosynthesis: J=3.47e-03, L=1.00e-02, log2(J/L)=-1.53; map00860 Porphyrin metabolism: J=3.87e-03, L=1.52e-02, log2(J/L)=-1.97; map00130 Ubiquinone and other terpenoid-quinone biosynthesis: J=2.51e-03, L=5.77e-03, log2(J/L)=-1.20; map00740 Riboflavin metabolism: J=1.83e-03, L=4.34e-03, log2(J/L)=-1.24 (DESCRIPTIVE, n=1 pooled)
category::lipid_metabolism	2 taxa assigned 'lipid_metabolism'; directions: {'Laggard-exclusive': 2}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00061 Fatty acid biosynthesis: J=3.09e-03, L=7.53e-03, log2(J/L)=-1.28; map00071 Fatty acid degradation: J=1.87e-03, L=5.38e-03, log2(J/L)=-1.53; map00561 Glycerolipid metabolism: J=1.66e-03, L=4.89e-03, log2(J/L)=-1.56 (DESCRIPTIVE, n=1 pooled)
category::organic_acid_metabolism	6 taxa assigned 'organic_acid_metabolism'; directions: {'Jumper-exclusive': 3, 'Jumper-enriched': 2, 'Laggard-exclusive': 1}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00020 Citrate cycle (TCA cycle): J=3.83e-03, L=1.09e-02, log2(J/L)=-1.51; map00620 Pyruvate metabolism: J=6.78e-03, L=1.68e-02, log2(J/L)=-1.31; map00630 Glyoxylate and dicarboxylate metabolism: J=4.58e-03, L=1.51e-02, log2(J/L)=-1.72 (DESCRIPTIVE, n=1 pooled)
category::sulfur_metabolism	2 taxa assigned 'sulfur_metabolism'; directions: {'Jumper-exclusive': 2}.	Genome-resolved pathway indices present for corresponding KEGG maps.	supported	map00920 Sulfur metabolism: J=3.89e-03, L=9.66e-03, log2(J/L)=-1.31 (DESCRIPTIVE, n=1 pooled)
taxon::Jiulongibacter sediminis	category='anaerobic_fermenter', Jumper-enriched (J=298, L=17).	No KEGG GENOME entry — functional profile unavailable.	not-testable	no_kegg_genome
taxon::Klebsiella variicola	Curated category 'organic_acid_metabolism'.	KEGG genome 'Klebsiella variicola At-22' (3722 genes, 254 pathways).	supported	Top Jumper-index pathways: map01100 (Metabolic pathways)=1.94e-02; map01110 (Biosynthesis of secondary metabolites)=7.28e-03; map01120 (Microbial metabolism in diverse environments)=6.82e-03
taxon::Endothiovibrio diazotrophicus	category='sulfur_metabolism', Jumper-exclusive (J=15, L=0).	No KEGG GENOME entry — functional profile unavailable.	not-testable	no_kegg_genome
taxon::Citrobacter koseri	Curated category 'organic_acid_metabolism'.	KEGG genome 'Citrobacter koseri' (3369 genes, 253 pathways).	supported	Top Jumper-index pathways: map01100 (Metabolic pathways)=7.01e-03; map01110 (Biosynthesis of secondary metabolites)=2.78e-03; map01120 (Microbial metabolism in diverse environments)=2.20e-03
taxon::Pseudoalteromonas phenolica	Curated category 'chitin_degrader'.	KEGG genome 'Pseudoalteromonas phenolica' (2343 genes, 277 pathways).	supported	Top Jumper-index pathways: map01100 (Metabolic pathways)=5.19e-03; map01110 (Biosynthesis of secondary metabolites)=2.45e-03; map01120 (Microbial metabolism in diverse environments)=1.38e-03
taxon::Flavobacterium jumunjinense	Curated category 'vitamin_synthesis'.	KEGG genome 'Flavobacterium psychrophilum JIP02/86' (1177 genes, 238 pathways).	supported	Top Jumper-index pathways: map01100 (Metabolic pathways)=5.52e-03; map01110 (Biosynthesis of secondary metabolites)=2.66e-03; map01240 (Biosynthesis of cofactors)=1.39e-03
taxon::Thiohalospira halophila	category='sulfur_metabolism', Jumper-exclusive (J=6, L=0).	No KEGG GENOME entry — functional profile unavailable.	not-testable	no_kegg_genome
taxon::Flavobacterium haoranii	Curated category 'vitamin_synthesis'.	KEGG genome 'Flavobacterium psychrophilum JIP02/86' (1177 genes, 238 pathways).	supported	Top Jumper-index pathways: map01100 (Metabolic pathways)=2.07e-03; map01110 (Biosynthesis of secondary metabolites)=9.97e-04; map01240 (Biosynthesis of cofactors)=5.22e-04
new_only	No equivalent claim in the hand-curated map (category vocabulary too coarse).	KEGG map03050 Proteasome: J=0.00e+00, L=2.94e-04, log2(J/L)=-8.20.	new	top Jumper taxa: nan; top Laggard taxa: Cutibacterium acnes (2.59e-04); Cutibacterium namnetense (2.56e-05); Janibacter endophyticus (7.19e-06); Brachybacterium aquaticum (2.27e-06)
