taxon	baseline_rank	baseline_fold_diff	loto_mean_rank_shift	loto_rank_std	loto_top5_fraction	loto_influence_score	is_high_leverage	n_loto_appearances
Cutibacterium acnes	0	-4.285462	0.0	0.0	1.0	0.022555	False	190
Moraxella osloensis	1	-3.32995	-0.01	0.07	1.0	0.017526	False	190
Jiulongibacter sediminis	2	3.089278	-0.01	0.1	1.0	0.016259	False	190
Endothiovibrio diazotrophicus	3	2.933448	-0.02	0.12	1.0	0.015439	False	190
Exiguobacterium aestuarii	4	-2.770334	-0.02	0.14	1.0	0.014581	False	190
Pseudomonas oryzihabitans	5	-2.719041	-0.03	0.16	0.026	0.014311	False	190
Pseudoalteromonas phenolica	6	2.527983	-0.03	0.18	0.0	0.013305	False	190
Arcticibacterium luteifluviistationis	7	2.422623	-0.04	0.19	0.0	0.012751	False	190
Pseudomonas azotoformans	8	-2.339551	-0.03	0.16	0.0	0.012313	False	190
Pseudomonas alkylphenolica	9	-2.339551	-0.06	0.3	0.0	0.012313	False	190
Flavobacterium jumunjinense	10	2.304839	-0.05	0.22	0.0	0.012131	False	190
Massilia arenae	11	-2.172497	-0.06	0.23	0.0	0.011434	False	190
Citrobacter koseri	12	2.0972	-0.06	0.24	0.0	0.011038	False	190
Thiohalospira halophila	13	2.017157	-0.07	0.25	0.0	0.010617	False	190
Aeromonas dhakensis	14	-1.971827	-0.01	0.1	0.0	0.010378	False	190
Cutibacterium namnetense	15	-1.971827	-0.01	0.07	0.0	0.010378	False	190
Stutzerimonas stutzeri	16	-1.971827	-0.22	0.76	0.0	0.010378	False	190
Pseudomonas aeruginosa	17	-1.854044	-0.03	0.18	0.0	0.009758	False	190
Massilia terrae	18	-1.854044	-0.15	0.5	0.0	0.009758	False	190
Cupriavidus necator	19	-1.720512	-0.1	0.3	0.0	0.009055	False	190
Rahnella inusitata	20	1.611692	-0.11	0.31	0.0	0.008483	False	190
Massilia niastensis	21	-1.566362	0.02	0.27	0.0	0.008244	False	190
Aeromonas lusitana	22	-1.566362	-0.05	0.45	0.0	0.008244	False	190
Roseibium sediminis	23	-1.566362	0.08	0.39	0.0	0.008244	False	190
