ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006936	GO:0006936	32	0.799549759949239	2.52097743113281	1e-10	1.513e-07	1.40105263157895e-07	1344	tags=56%, list=7%, signal=52%	XM_067103334.1/XM_067103326.1/XM_067083499.1/XM_067083486.1/XM_067107548.1/XM_067103336.1/XM_067083495.1/XM_067083490.1/XM_067103337.1/XM_067083482.1/XM_067099903.1/XM_067107547.1/XM_067099902.1/XM_067099904.1/XM_067092947.1/XM_067103319.1/XM_067126307.1/XM_067103333.1
GO:0045214	GO:0045214	57	0.632527812549228	2.24533232463415	5.25064501206013e-08	3.97211295162348e-05	3.67821500581686e-05	1041	tags=30%, list=6%, signal=28%	XM_067083499.1/XM_067083486.1/XM_067107548.1/XM_067089444.1/XM_067083495.1/XM_067083490.1/XM_067101074.1/XM_067083482.1/XM_067099903.1/XM_067107547.1/XM_067083986.1/JP353538.1/XM_067099902.1/XM_067099904.1/XM_067130334.1/XM_067101841.1/XM_067126307.1
GO:0035149	GO:0035149	25	-0.730636905940905	-2.49890090366578	2.84970414875475e-07	0.000130911960284575	0.000121225741217358	1971	tags=52%, list=11%, signal=46%	XM_067134598.1/XM_067083647.1/XM_067134692.1/XM_067083648.1/XM_067095299.1/XM_067134689.1/XM_067105143.1/XM_067083628.1/XM_067134688.1/XM_067105146.1/XM_067134681.1/XM_067105149.1/XM_067134690.1
GO:0030239	GO:0030239	34	0.705843624377579	2.22424124384356	3.46099035782088e-07	0.000130911960284575	0.000121225741217358	1634	tags=47%, list=9%, signal=43%	XM_067083499.1/XM_067107548.1/XM_067083490.1/XM_067115008.1/XM_067083482.1/XM_067105190.1/XM_067099903.1/XM_067105192.1/XM_067107547.1/XM_067099902.1/XM_067099904.1/XM_067130334.1/XM_067105189.1/XM_067101841.1/XM_067115015.1/XM_067115012.1
GO:0007498	GO:0007498	33	0.683517673206173	2.15088373602274	1.52679210167092e-06	0.00046200728996562	0.000427823218383998	1579	tags=36%, list=9%, signal=33%	XM_067083499.1/EL696537.1/XM_067083490.1/XM_067101074.1/XM_067083482.1/XM_067105190.1/XM_067105192.1/XM_067087673.1/JP353538.1/XM_067105189.1/XM_067128884.1/XM_067128859.1
GO:0071689	GO:0071689	14	0.832250604308606	2.13914121263625	2.23615443849396e-06	0.000563883610906894	0.000522161676778151	560	tags=64%, list=3%, signal=62%	XM_067083499.1/XM_067107548.1/XM_067083490.1/XM_067083482.1/XM_067099903.1/XM_067107547.1/XM_067099902.1/XM_067099904.1/XM_067130334.1
GO:0000272	GO:0000272	30	0.640546150408919	1.97881543571094	4.93775037691782e-05	0.0106725947432524	0.00988292594237235	2380	tags=50%, list=13%, signal=44%	XM_067094319.1/XM_067086790.1/XM_067126961.1/XM_067107896.1/XM_067107897.1/XM_067126960.1/XM_067107903.1/XM_067094724.1/XM_067108215.1/XM_067126962.1/XM_067107901.1/XM_067107900.1/XM_067107899.1/XM_067090077.1/LT574899.1
GO:0043588	GO:0043588	15	0.766113008341773	1.99008824895517	6.99990069104216e-05	0.0132385621819335	0.0122590366049699	1414	tags=47%, list=8%, signal=43%	XM_067101433.1/JP353637.1/XM_067101431.1/XM_067095835.1/XM_067101434.1/XM_067095819.1/XM_067101432.1
GO:0048646	GO:0048646	21	0.704967969951807	2.02207623410987	0.000103041420687296	0.0173224077222087	0.0160407170683965	1248	tags=38%, list=7%, signal=36%	XM_067123589.1/XM_067123587.1/XM_067123590.1/XM_067123601.1/XM_067090818.1/XM_067090833.1/XM_067119013.1/XM_067105098.1
GO:0006032	GO:0006032	34	0.621691356285391	1.95906218861206	0.000128694755932661	0.0194715165726116	0.0180308126469865	2380	tags=47%, list=13%, signal=41%	XM_067094319.1/XM_067086790.1/XM_067126961.1/XM_067107896.1/XM_067107897.1/XM_067126960.1/XM_067107903.1/XM_067094724.1/XM_067108215.1/XM_067126962.1/XM_067107901.1/XM_067107900.1/XM_067107899.1/XM_067090077.1/XM_067118234.1/LT574899.1
GO:0006937	GO:0006937	10	0.809818551956041	1.90319770916561	0.000150622128340127	0.0207173891071465	0.0191845026622688	788	tags=50%, list=4%, signal=48%	XM_067083486.1/XM_067083495.1/XM_067101598.1/XM_067101602.1/XM_067101605.1
GO:0007349	GO:0007349	37	-0.534347584840737	-2.03446196594557	0.000168546267225507	0.0212508751926827	0.0196785159365921	3002	tags=43%, list=16%, signal=36%	JP353649.1/XM_067134691.1/XM_067110080.1/XM_067120929.1/XM_067120904.1/XM_067120915.1/XM_067106355.1/XM_067134692.1/XM_067110070.1/GH624156.1/XM_067095299.1/XM_067134689.1/XM_067134688.1/XM_067134681.1/XM_067107205.1/XM_067134690.1
GO:0007041	GO:0007041	24	-0.619536650218765	-2.08691581608202	0.000200176117489	0.0232974204431428	0.0215736366297862	2490	tags=46%, list=14%, signal=40%	XM_067099424.1/XM_067115923.1/XM_067122236.1/XM_067131796.1/XM_067083434.1/XM_067083729.1/XM_067099407.1/JZ905044.1/XM_067098984.1/XM_067083423.1/XM_067099408.1
GO:0042692	GO:0042692	16	0.722201581097326	1.91027358834857	0.000253590242846685	0.0274058598162167	0.0253780912202209	460	tags=44%, list=3%, signal=43%	XM_067107548.1/XM_067127868.1/XM_067099903.1/XM_067113619.1/XM_067107547.1/XM_067099902.1/XM_067099904.1
GO:0030199	GO:0030199	21	0.678598095774088	1.94643890284945	0.000289254476165566	0.0291761348292335	0.0270173830018504	3523	tags=71%, list=19%, signal=58%	XM_067101433.1/JP353637.1/XM_067104978.1/XM_067101431.1/XM_067118819.1/XM_067104975.1/XM_067101434.1/XM_067118838.1/XM_067095236.1/XM_067101432.1/XM_067104977.1/XM_067096305.1/XM_067086322.1/XM_067086321.1/XM_067099845.1
GO:0048680	GO:0048680	13	-0.740499969588675	-2.13279726748942	0.000354256682754192	0.0334993975629433	0.0310207661016993	1560	tags=46%, list=9%, signal=42%	XM_067104111.1/XM_067083434.1/XM_067130547.1/XM_067110765.1/XM_067098798.1/XM_067083423.1
GO:0001523	GO:0001523	21	0.673243157836517	1.93107920822469	0.000381846688017557	0.0339843552335626	0.031469841594512	2747	tags=38%, list=15%, signal=32%	XM_067101485.1/XM_067121380.1/XM_067082099.1/XM_067129341.1/XM_067087972.1/XM_067127016.1/XM_067087971.1/XM_067127937.1
GO:0003012	GO:0003012	13	0.754730075193828	1.91119242404317	0.000438895646626016	0.0368916174080645	0.0341619944829957	2747	tags=54%, list=15%, signal=46%	XM_067113860.1/XM_067114239.1/JZ905045.1/XM_067113913.1/XM_067082099.1/XM_067114149.1/XM_067127937.1
GO:0007314	GO:0007314	29	-0.553195204423223	-1.93422562779204	0.000516790244424414	0.0411528231481126	0.038107912206587	1632	tags=31%, list=9%, signal=28%	JP353912.1/XM_067105143.1/XM_067110365.1/XM_067086029.1/XM_067105146.1/XM_067105149.1/XM_067096269.1/XM_067086030.1/XM_067096270.1
GO:0035159	GO:0035159	19	-0.635949556319842	-2.01767940656328	0.000652654269243992	0.0457187426654524	0.0423359978347078	1672	tags=53%, list=9%, signal=48%	XM_067093225.1/XM_067134691.1/XM_067134692.1/XM_067106238.1/XM_067134689.1/XM_067086029.1/XM_067134688.1/XM_067134681.1/XM_067086030.1/XM_067134690.1
GO:0032964	GO:0032964	12	0.767570862107645	1.89748647265229	0.000666157092034059	0.0457187426654524	0.0423359978347078	2455	tags=58%, list=13%, signal=50%	XM_067101433.1/JP353637.1/XM_067101431.1/XM_067101434.1/XM_067101432.1/XM_067090013.1/XM_067096305.1
GO:0009952	GO:0009952	21	-0.614754479996575	-2.0139732750293	0.00070643119536002	0.0457187426654524	0.0423359978347078	1826	tags=33%, list=10%, signal=30%	XM_067132377.1/XM_067099996.1/XM_067105143.1/XM_067105146.1/XM_067119832.1/XM_067105149.1/XM_067132853.1
GO:0090254	GO:0090254	10	-0.769900807064683	-2.01117229406373	0.000713437409692754	0.0457187426654524	0.0423359978347078	1672	tags=80%, list=9%, signal=73%	XM_067134691.1/XM_067134692.1/XM_067134689.1/XM_067086029.1/XM_067134688.1/XM_067134681.1/XM_067086030.1/XM_067134690.1
GO:0006886	GO:0006886	211	-0.284789756429607	-1.44458054162691	0.000725214688678691	0.0457187426654524	0.0423359978347078	3409	tags=27%, list=19%, signal=22%	XM_067114181.1/XM_067133233.1/XM_067102175.1/XM_067121827.1/XM_067098575.1/XM_067119858.1/XM_067130941.1/XM_067104324.1/JP354449.1/XM_067123901.1/XM_067134048.1/XM_067112685.1/XM_067104049.1/XM_067082945.1/XM_067127885.1/XM_067095965.1/XM_067100033.1/XM_067116496.1/XM_067118513.1/JP354879.1/XM_067082971.1/XM_067084261.1/XM_067122608.1/XM_067130011.1/XM_067127051.1/XM_067108753.1/XM_067111174.1/XM_067107838.1/XM_067095299.1/XM_067088301.1/XM_067130867.1/XM_067120524.1/XM_067089608.1/XM_067134046.1/XM_067082030.1/XM_067091921.1/JP353339.1/XM_067096495.1/XM_067091911.1/XM_067116401.1/JP354448.1/XM_067114339.1/XM_067104997.1/XM_067130868.1/XM_067122686.1/XM_067101489.1/XM_067128419.1/XM_067127591.1/XM_067081221.1/XM_067120089.1/XM_067094878.1/GH625542.1/XM_067094875.1/XM_067122620.1/XM_067130942.1/XM_067104326.1
GO:0045199	GO:0045199	12	-0.746437970703793	-2.09040772770217	0.000846640815912325	0.0512387021790139	0.0474475337254444	1769	tags=75%, list=10%, signal=68%	XM_067134691.1/XM_067110534.1/XM_067134692.1/XM_067134689.1/XM_067086029.1/XM_067134688.1/XM_067134681.1/XM_067086030.1/XM_067134690.1
GO:0030589	GO:0030589	12	-0.744504127548219	-2.08499197872471	0.00095030960803481	0.055300709113718	0.0512089914289203	1672	tags=67%, list=9%, signal=61%	XM_067134691.1/XM_067134692.1/XM_067134689.1/XM_067134688.1/XM_067134681.1/XM_067129028.1/XM_067134690.1/XM_067129033.1
GO:0010496	GO:0010496	19	0.664568324648811	1.86633730182369	0.00106913786795226	0.0581847461517564	0.0538796376164384	3303	tags=63%, list=18%, signal=52%	XM_067116817.1/XM_067116816.1/JP353873.1/XM_067116845.1/XM_067116846.1/JP353561.1/XM_067123371.1/XM_067107965.1/XM_067116060.1/XM_067116072.1/XM_067116842.1/XM_067116074.1
GO:0048705	GO:0048705	14	0.712874714918437	1.83230829059619	0.00110648726642039	0.0581847461517564	0.0538796376164384	1620	tags=57%, list=9%, signal=52%	XM_067101433.1/JP353637.1/XM_067104978.1/XM_067101431.1/XM_067104975.1/XM_067101434.1/XM_067101432.1/XM_067104977.1
GO:0030316	GO:0030316	10	0.760437291325718	1.7871441785564	0.00111523968169262	0.0581847461517564	0.0538796376164384	2747	tags=50%, list=15%, signal=42%	XM_067082099.1/XM_067085457.1/XM_067124071.1/XM_067099183.1/XM_067127937.1
GO:0007318	GO:0007318	11	-0.732141659943579	-1.98487610574259	0.00127846490228053	0.0640055141391652	0.0592697250629484	1324	tags=45%, list=7%, signal=42%	JP351550.1/XM_067105143.1/XM_067105146.1/XM_067105149.1/XM_067095351.1
GO:0034334	GO:0034334	15	-0.655472017107892	-1.97415134168282	0.00131141502862797	0.0640055141391652	0.0592697250629484	3044	tags=60%, list=17%, signal=50%	XM_067131225.1/XM_067134691.1/XM_067110080.1/XM_067134692.1/XM_067110070.1/XM_067134689.1/XM_067134688.1/XM_067134681.1/XM_067134690.1
GO:0032722	GO:0032722	17	0.669899940489249	1.81704245735454	0.0015163083948723	0.071692956295056	0.066388370841284	5262	tags=82%, list=29%, signal=59%	XM_067086720.1/XM_067107896.1/XM_067107897.1/XM_067107903.1/XM_067107901.1/XM_067107899.1/XM_067086716.1/LT574899.1/JP351928.1/XM_067107902.1/XM_067107938.1/XM_067086719.1/XM_067107937.1/XM_067081317.1
GO:0016336	GO:0016336	10	-0.747922929883148	-1.95376061548872	0.00159198784843905	0.07299023074813	0.0675896595302195	1324	tags=50%, list=7%, signal=46%	JP351550.1/XM_067105143.1/XM_067105146.1/XM_067105149.1/XM_067095351.1
GO:0030048	GO:0030048	22	-0.599734139689731	-1.98710058021798	0.00168036371501519	0.0747761853181758	0.0692434707332884	869	tags=27%, list=5%, signal=26%	XM_067086029.1/XM_067098118.1/XM_067098114.1/XM_067129028.1/XM_067086030.1/XM_067129033.1
GO:0006699	GO:0006699	10	-0.745115426415929	-1.9464267185283	0.00179521712532786	0.0758381394204075	0.070226850501661	1823	tags=60%, list=10%, signal=54%	XM_067098983.1/XM_067084441.1/XM_067084440.1/XM_067098981.1/XM_067098139.1/XM_067098146.1
GO:0035277	GO:0035277	17	-0.624670944260745	-1.92240356705115	0.0018260517865077	0.0758381394204075	0.070226850501661	1867	tags=65%, list=10%, signal=58%	XM_067093225.1/XM_067134691.1/XM_067133257.1/XM_067134692.1/XM_067134689.1/XM_067086029.1/XM_067134688.1/XM_067134681.1/XM_067087618.1/XM_067086030.1/XM_067134690.1
GO:0006361	GO:0006361	14	-0.668721773146793	-1.98177930372441	0.0018546008979214	0.0758381394204075	0.070226850501661	2172	tags=43%, list=12%, signal=38%	XM_067108386.1/XM_067108385.1/XM_067087675.1/XM_067108375.1/XM_067108372.1/XM_067108373.1
