ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map00310	map00310	15	0.773653086258639	2.0639400131566	4.38395248479276e-05	0.00543610108114302	0.00516844924522936	1437	tags=47%, list=8%, signal=43%	XM_067112985.1/XM_067112959.1/XM_067112997.1/XM_067113004.1/XM_067112973.1/XM_067112948.1/XM_067095264.1
map05231	map05231	18	-0.605303251940881	-1.89878969115849	0.00258486771547933	0.148979103815674	0.141643969671948	3271	tags=44%, list=18%, signal=36%	XM_067130397.1/XM_067116297.1/XM_067116106.1/XM_067104110.1/XM_067110139.1/XM_067082907.1/XM_067082906.1/XM_067099926.1
map04066	map04066	17	-0.610362508087699	-1.87801137145354	0.00401141013172992	0.148979103815674	0.141643969671948	1792	tags=41%, list=10%, signal=37%	XM_067116297.1/XM_067095184.1/JP355486.1/GH624882.1/XM_067095187.1/XM_067099926.1/XM_067107240.1
map04150	map04150	28	-0.492103955752189	-1.74395272429943	0.0048057775424411	0.148979103815674	0.141643969671948	3917	tags=39%, list=22%, signal=31%	JP353021.1/XM_067094793.1/XM_067116297.1/XM_067117872.1/XM_067119649.1/XM_067116106.1/XM_067129114.1/XM_067099053.1/XM_067110139.1/XM_067129113.1/XM_067099926.1
map04137	map04137	12	-0.659987118691591	-1.80819284996444	0.00849570379916603	0.210693454219318	0.200319752738231	2123	tags=58%, list=12%, signal=52%	XM_067101696.1/XM_067097330.1/XM_067105397.1/XM_067097328.1/XM_067101362.1/XM_067107861.1/XM_067113778.1
map05130	map05130	15	-0.546327392314695	-1.59875324454374	0.023841128817062	0.447992646158025	0.425935283274183	1988	tags=47%, list=11%, signal=42%	XM_067130941.1/XM_067104110.1/XM_067130867.1/XM_067130868.1/XM_067098118.1/XM_067098114.1/XM_067130942.1
map05211	map05211	11	-0.612042986210523	-1.62117044807738	0.0290903679816059	0.447992646158025	0.425935283274183	1668	tags=45%, list=9%, signal=41%	XM_067116297.1/JP355486.1/XM_067110139.1/XM_067107240.1/XM_067110521.1
map04141	map04141	37	-0.374510899446526	-1.40410433890141	0.0305677681360185	0.447992646158025	0.425935283274183	3599	tags=43%, list=20%, signal=35%	XM_067120985.1/XM_067133753.1/XM_067130941.1/XM_067133751.1/JP353081.1/XM_067089964.1/XM_067104530.1/XM_067133146.1/XM_067092062.1/XM_067133754.1/XM_067081705.1/XM_067085558.1/XM_067104394.1/XM_067130867.1/XM_067130868.1/XM_067130942.1
map04520	map04520	10	-0.632509952051395	-1.637569837286	0.0350519559761431	0.447992646158025	0.425935283274183	3880	tags=60%, list=21%, signal=47%	XM_067082077.1/XM_067081040.1/XM_067104110.1/JP355486.1/XM_067127148.1/XM_067099460.1
map04146	map04146	18	-0.47609649859963	-1.49347805523755	0.0363628774137863	0.447992646158025	0.425935283274183	678	tags=56%, list=4%, signal=54%	XM_067089678.1/XM_067132863.1/XM_067133256.1/XM_067093980.1/XM_067119756.1/EU077526.1/XM_067088388.1/JP354575.1/XM_067119754.1/XM_067097334.1
map04014	map04014	20	-0.466074836511696	-1.50690041004129	0.0427749757289781	0.447992646158025	0.425935283274183	3126	tags=40%, list=17%, signal=33%	XM_067116297.1/XM_067115483.1/XM_067095184.1/GH624882.1/XM_067110139.1/XM_067095187.1/XM_067120393.1/XM_067109974.1
map00071	map00071	11	-0.58228903760487	-1.5423586272088	0.0433541270475508	0.447992646158025	0.425935283274183	678	tags=55%, list=4%, signal=53%	XM_067083830.1/XM_067119756.1/XM_067083746.1/JP354575.1/XM_067119754.1/XM_067097334.1
map04145	map04145	21	0.515898133268977	1.49385754189857	0.0533536585365854	0.506222598599526	0.481298226172724	4338	tags=38%, list=24%, signal=29%	XM_067094945.1/XM_067084447.1/XM_067116229.1/XM_067124073.1/XM_067128451.1/XM_067103297.1/XM_067088959.1/XM_067095225.1
map00561	map00561	17	-0.489934348148586	-1.50746853697068	0.058702717237695	0.506222598599526	0.481298226172724	5164	tags=65%, list=28%, signal=46%	XM_067125627.1/XM_067107347.1/XM_067130398.1/XM_067134182.1/JP353021.1/XM_067086603.1/XM_067114102.1/XM_067130397.1/XM_067117872.1/XM_067101995.1/XM_067125628.1
map04149	map04149	17	-0.486190040893691	-1.4959477579095	0.0612366046692975	0.506222598599526	0.481298226172724	681	tags=59%, list=4%, signal=57%	XM_067119756.1/XM_067122690.1/XM_067084573.1/XM_067084574.1/XM_067114601.1/XM_067113269.1/JP354575.1/XM_067122695.1/XM_067119754.1/XM_067097334.1
