ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map04820	map04820	15	-0.701174104901509	-3.00467248116854	1.04537567257454e-05	0.00128581207726668	0.00117742312595237	4768	tags=80%, list=26%, signal=59%	XM_067115698.1/XM_067086643.1/XM_067099423.1/XM_067086523.1/XM_067103022.1/XM_067099421.1/XM_067099424.1/XM_067097674.1/XM_067099408.1/XM_067126520.1/XM_067099407.1/XM_067099426.1
map00830	map00830	14	-0.657080121020305	-2.75025578086439	0.000151811068941171	0.00867162323738426	0.00794063916474211	1923	tags=71%, list=11%, signal=64%	XM_067121380.1/XM_067126527.1/XM_067083907.1/XM_067087970.1/XM_067087968.1/JP354014.1/XM_067110561.1/XM_067087972.1/XM_067083909.1/XM_067105201.1
map04371	map04371	11	-0.731988085039842	-2.65530309391571	0.00021150300578986	0.00867162323738426	0.00794063916474211	2688	tags=91%, list=15%, signal=77%	XM_067101695.1/XM_067111687.1/XM_067111667.1/XM_067097582.1/XM_067099926.1/XM_067097581.1/XM_067102642.1/JP353568.1/XM_067108014.1/XM_067101696.1
map00565	map00565	12	-0.600263656438441	-2.30743500499546	0.00124342779526413	0.0382354047043719	0.0350123089719109	3611	tags=75%, list=20%, signal=60%	XM_067130397.1/EL609829.1/XM_067096960.1/XM_067106816.1/XM_067106818.1/XM_067106817.1/XM_067106815.1/XM_067106820.1/XM_067106822.1
map03010	map03010	18	0.564401173295379	1.56888822412188	0.0106974248669393	0.218846875361403	0.200398935932137	6223	tags=56%, list=35%, signal=36%	XM_067117143.1/XM_067099102.1/XM_067133171.1/XM_067107761.1/XM_067097624.1/XM_067091967.1/XM_067093564.1/XM_067104492.1/XM_067091080.1/XM_067115536.1
map03082	map03082	21	0.540848480613917	1.5377650814143	0.0115860336919409	0.218846875361403	0.200398935932137	7097	tags=86%, list=39%, signal=52%	XM_067096737.1/XM_067128530.1/XM_067096739.1/XM_067128537.1/XM_067128561.1/XM_067123535.1/XM_067082608.1/XM_067094880.1/XM_067120607.1/XM_067120859.1/XM_067104156.1/XM_067088166.1/JP354187.1/XM_067123536.1/XM_067097995.1/XM_067120858.1/XM_067131653.1/XM_067081400.1
map04141	map04141	37	0.483357479904646	1.49952887913185	0.0124547002238197	0.218846875361403	0.200398935932137	4505	tags=54%, list=25%, signal=41%	XM_067133751.1/XM_067092062.1/XM_067130941.1/XM_067130868.1/XM_067085558.1/XM_067133753.1/XM_067104394.1/XM_067130866.1/XM_067130942.1/XM_067130943.1/XM_067120985.1/XM_067133754.1/XM_067120977.1/XM_067107854.1/XM_067133146.1/XM_067133752.1/XM_067104530.1/XM_067100423.1/JP353081.1/XM_067113178.1
map03008	map03008	28	0.474910788337788	1.41654545101834	0.0275510204081633	0.298483316481294	0.273322335160449	5424	tags=57%, list=30%, signal=40%	XM_067111546.1/XM_067103389.1/XM_067107806.1/XM_067092575.1/XM_067116216.1/XM_067084717.1/XM_067115367.1/XM_067120821.1/XM_067102058.1/XM_067110358.1/XM_067096802.1/XM_067091632.1/XM_067132574.1/XM_067098236.1/JP351684.1/XM_067105631.1
map05130	map05130	15	0.565860155269476	1.52036691056285	0.0298507462686567	0.298483316481294	0.273322335160449	2581	tags=47%, list=14%, signal=40%	XM_067130941.1/XM_067130868.1/XM_067098124.1/XM_067130866.1/XM_067130942.1/XM_067128466.1/XM_067130943.1
map04110	map04110	26	0.492276172323361	1.45540348519844	0.0299157637669837	0.298483316481294	0.273322335160449	6229	tags=65%, list=35%, signal=43%	XM_067089712.1/XM_067114366.1/XM_067131155.1/XM_067093545.1/XM_067127208.1/XM_067134678.1/XM_067093132.1/XM_067093546.1/XM_067116781.1/XM_067128510.1/XM_067085687.1/XM_067082454.1/XM_067083643.1/XM_067093547.1/XM_067134477.1/XM_067102609.1/XM_067123913.1
