module	partial_r_obs	null_95th_pct	null_99th_pct	null_99_9th_pct	null_mean	null_std	empirical_p	exceeds_95th	exceeds_99th	n_perms
M6	-0.5898	0.4133	0.4846	0.5469	0.0007	0.2324	0.001	True	True	1000
M8	-0.4828	0.4099	0.4915	0.6376	-0.0103	0.2191	0.014	True	False	1000
M13	0.3324	0.4302	0.4882	0.5604	-0.0046	0.2414	0.198	False	False	1000
M7	-0.3205	0.44	0.5447	0.617	-0.0096	0.2302	0.181	False	False	1000
M15	0.3079	0.4321	0.4917	0.5406	0.0142	0.2399	0.225	False	False	1000
M11	-0.2594	0.4283	0.5639	0.6996	-0.0002	0.2177	0.226	False	False	1000
M12	0.2409	0.4143	0.5684	0.6037	-0.014	0.2335	0.335	False	False	1000
M19	0.2308	0.4353	0.5767	0.6473	0.0006	0.2352	0.368	False	False	1000
M20	0.2273	0.4501	0.5771	0.6183	0.0096	0.2383	0.362	False	False	1000
M3	0.211	0.4223	0.5654	0.7165	-0.0137	0.2269	0.385	False	False	1000
M2	0.2079	0.4391	0.5544	0.6822	-0.0029	0.2274	0.379	False	False	1000
M9	-0.153	0.4241	0.5388	0.593	0.0079	0.2332	0.569	False	False	1000
M17	0.1451	0.4457	0.5364	0.6003	0.0043	0.2309	0.554	False	False	1000
M5	-0.1176	0.4564	0.5506	0.5901	-0.0105	0.2378	0.643	False	False	1000
M1	-0.104	0.431	0.4924	0.5775	-0.0092	0.2334	0.695	False	False	1000
M4	-0.0696	0.423	0.5076	0.5755	-0.0087	0.2367	0.802	False	False	1000
M14	0.0689	0.4175	0.559	0.6235	0.0008	0.2262	0.796	False	False	1000
M18	-0.0359	0.422	0.5188	0.5941	-0.0127	0.2283	0.906	False	False	1000
M10	-0.0286	0.4277	0.525	0.6121	0.0111	0.2282	0.906	False	False	1000
M16	-0.008	0.4517	0.5474	0.6224	0.0021	0.2304	0.979	False	False	1000
