module	partial_r_obs	n_current	power_at_n20	n_for_80pct_power	n_for_ci_exclude_zero	alpha	target_power
M6	-0.5898	20	0.798	21.0	15.0	0.05	0.8
M8	-0.4828	20	0.584	32.0	20.0	0.05	0.8
M13	0.3324	20	0.296	69.0	38.0	0.05	0.8
M7	-0.3205	20	0.278	75.0	41.0	0.05	0.8
M15	0.3079	20	0.259	81.0	44.0	0.05	0.8
M11	-0.2594	20	0.193	115.0	61.0	0.05	0.8
M12	0.2409	20	0.172	133.0	70.0	0.05	0.8
M19	0.2308	20	0.161	146.0	76.0	0.05	0.8
M20	0.2273	20	0.157	150.0	78.0	0.05	0.8
M3	0.211	20	0.141	175.0	90.0	0.05	0.8
M2	0.2079	20	0.138	180.0	92.0	0.05	0.8
M9	-0.153	20	0.093	334.0	168.0	0.05	0.8
M17	0.1451	20	0.087	371.0	186.0	0.05	0.8
M5	-0.1176	20	0.07	566.0	281.0	0.05	0.8
M1	-0.104	20	0.063	724.0	359.0	0.05	0.8
M4	-0.0696	20	0.047	1619.0	797.0	0.05	0.8
M14	0.0689	20	0.047	1652.0	813.0	0.05	0.8
M18	-0.0359	20	0.035	6088.0	2984.0	0.05	0.8
M10	-0.0286	20	0.033	9594.0	4700.0	0.05	0.8
M16	-0.008	20	0.05	inf	inf	0.05	0.8
