taxon	method	fold_diff	fold_diff_is_nan	rank	pseudocount
Acinetobacter chinensis	current (zero→NaN)	0.0	True	27	NaN
Acinetobacter indicus	current (zero→NaN)	0.0	True	61	NaN
Aeromonas dhakensis	current (zero→NaN)	0.0	True	62	NaN
Aeromonas lusitana	current (zero→NaN)	0.0	True	63	NaN
Agarivorans gilvus	current (zero→NaN)	0.0	True	28	NaN
Alcanivorax jadensis	current (zero→NaN)	0.0	True	125	NaN
Anatilimnocola aggregata	current (zero→NaN)	0.0	True	126	NaN
Arcticibacterium luteifluviistationis	current (zero→NaN)	0.0	True	127	NaN
Azomonas agilis	current (zero→NaN)	0.0	True	26	NaN
Azotobacter nigricans	current (zero→NaN)	0.0	True	25	NaN
Brachybacterium aquaticum	current (zero→NaN)	0.0	True	58	NaN
Brenneria rubrifaciens	current (zero→NaN)	0.0	True	59	NaN
Brevundimonas aurantiaca	current (zero→NaN)	0.0	True	60	NaN
Brevundimonas kwangchunensis	current (zero→NaN)	0.0	True	22	NaN
Buchnera aphidicola	current (zero→NaN)	0.0	True	23	NaN
Citrobacter bitternis	current (zero→NaN)	0.0	True	24	NaN
Citrobacter freundii	current (zero→NaN)	0.0	True	31	NaN
Citrobacter koseri	current (zero→NaN)	2.1145699271428158	False	3	NaN
Cronobacter muytjensii	current (zero→NaN)	0.9359149308011697	False	9	NaN
Cupriavidus necator	current (zero→NaN)	0.0	True	55	NaN
Cupriavidus plantarum	current (zero→NaN)	0.0	True	21	NaN
Cupriavidus yeoncheonensis	current (zero→NaN)	0.0	True	29	NaN
Cutibacterium acnes	current (zero→NaN)	0.0	True	30	NaN
Cutibacterium namnetense	current (zero→NaN)	0.0	True	56	NaN
Cyclobacterium qasimii	current (zero→NaN)	0.0	True	57	NaN
Dyadobacter sediminis	current (zero→NaN)	0.0	True	36	NaN
Emticicia soli	current (zero→NaN)	0.0	True	37	NaN
Endothiovibrio diazotrophicus	current (zero→NaN)	0.0	True	35	NaN
Enterobacter asburiae	current (zero→NaN)	0.0	True	34	NaN
Enterobacter cloacae	current (zero→NaN)	0.0	True	33	NaN
Enterobacter mori	current (zero→NaN)	0.24276775024122443	False	19	NaN
Entomohabitans teleogrylli	current (zero→NaN)	0.0	True	32	NaN
Entomomonas moraniae	current (zero→NaN)	0.0	True	39	NaN
Erwinia piriflorinigrans	current (zero→NaN)	1.341380038909334	False	5	NaN
Exiguobacterium aestuarii	current (zero→NaN)	-2.7529645233127664	False	2	NaN
Exiguobacterium alkaliphilum	current (zero→NaN)	0.0	True	47	NaN
Exiguobacterium marinum	current (zero→NaN)	0.0	True	38	NaN
Exiguobacterium undae	current (zero→NaN)	0.0	True	45	NaN
Flavobacterium caeni	current (zero→NaN)	0.0	True	46	NaN
Flavobacterium dongtanense	current (zero→NaN)	0.0	True	40	NaN
Flavobacterium enshiense	current (zero→NaN)	0.0	True	41	NaN
Flavobacterium haoranii	current (zero→NaN)	-1.1435266108786661	False	8	NaN
Flavobacterium jumunjinense	current (zero→NaN)	0.0	True	42	NaN
Flavobacterium luticocti	current (zero→NaN)	0.0	True	43	NaN
Flavobacterium palustre	current (zero→NaN)	0.0	True	44	NaN
Flavobacterium phocarum	current (zero→NaN)	0.0	True	50	NaN
Flavobacterium silvisoli	current (zero→NaN)	0.0	True	49	NaN
Flavobacterium xanthum	current (zero→NaN)	0.0	True	48	NaN
Fluviimonas pallidilutea	current (zero→NaN)	0.0	True	51	NaN
Franconibacter helveticus	current (zero→NaN)	0.0	True	53	NaN
Gemmata massiliana	current (zero→NaN)	0.0	True	54	NaN
Haliea alexandrii	current (zero→NaN)	0.0	True	72	NaN
Haloferula luteola	current (zero→NaN)	0.0	True	52	NaN
Halopseudomonas pelagia	current (zero→NaN)	0.0	True	69	NaN
Hansschlegelia beijingensis	current (zero→NaN)	0.0	True	70	NaN
Insectihabitans xujianqingii	current (zero→NaN)	0.0	True	71	NaN
Janibacter endophyticus	current (zero→NaN)	0.0	True	68	NaN
Jiulongibacter sediminis	current (zero→NaN)	3.1066478926904124	False	1	NaN
Klebsiella quasipneumoniae	current (zero→NaN)	0.0	True	66	NaN
Klebsiella quasivariicola	current (zero→NaN)	0.0	True	67	NaN
Klebsiella variicola	current (zero→NaN)	1.5719036975211667	False	4	NaN
Kluyvera ascorbata	current (zero→NaN)	0.0	True	65	NaN
Kluyvera georgiana	current (zero→NaN)	0.24276775024122443	False	18	NaN
Kosakonia arachidis	current (zero→NaN)	0.0	True	64	NaN
Kytococcus sedentarius	current (zero→NaN)	0.0	True	79	NaN
Leclercia pneumoniae	current (zero→NaN)	0.5304498226930054	False	13	NaN
Lewinella cohaerens	current (zero→NaN)	0.0	True	94	NaN
Limnoglobus roseus	current (zero→NaN)	0.0	True	95	NaN
Luminiphilus syltensis	current (zero→NaN)	0.0	True	78	NaN
Luteimonas abyssi	current (zero→NaN)	0.0	True	77	NaN
Lysobacter brunescens	current (zero→NaN)	0.0	True	73	NaN
Mangrovibacter plantisponsor	current (zero→NaN)	0.0	True	76	NaN
Maribius pelagius	current (zero→NaN)	0.0	True	74	NaN
Mariniblastus fucicola	current (zero→NaN)	-1.1435266108786661	False	7	NaN
Marivita roseacus	current (zero→NaN)	0.9359149308011697	False	10	NaN
Massilia agri	current (zero→NaN)	0.0	True	75	NaN
Massilia alkalitolerans	current (zero→NaN)	0.0	True	92	NaN
Massilia arenae	current (zero→NaN)	0.0	True	93	NaN
Massilia arvi	current (zero→NaN)	0.0	True	81	NaN
Massilia haematophila	current (zero→NaN)	0.0	True	80	NaN
Massilia niastensis	current (zero→NaN)	0.0	True	82	NaN
Massilia norwichensis	current (zero→NaN)	0.0	True	83	NaN
Massilia pinisoli	current (zero→NaN)	0.0	True	86	NaN
Massilia rhizosphaerae	current (zero→NaN)	0.0	True	87	NaN
Massilia terrae	current (zero→NaN)	0.0	True	84	NaN
Massilia yuzhufengensis	current (zero→NaN)	0.0	True	85	NaN
Mesorhizobium septentrionale	current (zero→NaN)	0.0	True	89	NaN
Methylococcus capsulatus	current (zero→NaN)	0.0	True	88	NaN
Methylotenera mobilis	current (zero→NaN)	0.0	True	90	NaN
Methylovulum psychrotolerans	current (zero→NaN)	0.0	True	91	NaN
Moraxella atlantae	current (zero→NaN)	0.0	True	98	NaN
Moraxella lacunata	current (zero→NaN)	0.0	True	99	NaN
Moraxella osloensis	current (zero→NaN)	-3.312580311248189	False	0	NaN
Moritella profunda	current (zero→NaN)	0.0	True	97	NaN
Mucilaginibacter koreensis	current (zero→NaN)	0.24276775024122443	False	16	NaN
Novispirillum itersonii	current (zero→NaN)	0.0	True	96	NaN
Pantoea agglomerans	current (zero→NaN)	0.0	True	103	NaN
Pantoea alhagi	current (zero→NaN)	0.0	True	111	NaN
Pantoea dispersa	current (zero→NaN)	0.0	True	102	NaN
Paraburkholderia pallida	current (zero→NaN)	0.0	True	100	NaN
