taxon	n_methods	mean_rank	rank_std	rank_range	top5_fraction	sign_stable	pseudocount_stable	stability_score
Moraxella osloensis	11	25.18	52.52	173.0	0.727	True	False	0.1599
Cutibacterium acnes	11	37.27	64.07	178.0	0.636	True	False	0.135
Exiguobacterium aestuarii	11	40.36	61.67	177.0	0.455	True	False	0.1395
Jiulongibacter sediminis	11	42.18	62.93	169.0	0.545	True	False	0.1371
Endothiovibrio diazotrophicus	11	61.0	78.5	179.0	0.545	False	False	0.113
Citrobacter bitternis	11	65.64	49.06	122.0	0.182	False	False	0.1693
Enterobacter asburiae	11	65.82	47.45	119.0	0.273	False	False	0.1741
Dyadobacter sediminis	11	65.82	48.12	121.0	0.0	False	False	0.172
Pseudoalteromonas peptidolytica	11	66.91	38.28	109.0	0.0	False	False	0.2071
Flavobacterium jumunjinense	11	67.18	77.04	170.0	0.182	False	False	0.1149
Flavobacterium phocarum	11	67.36	45.27	113.0	0.0	False	False	0.1809
Fluviimonas pallidilutea	11	67.73	43.04	105.0	0.0	False	False	0.1885
Insectihabitans xujianqingii	11	67.73	47.28	117.0	0.0	False	False	0.1746
Pseudoalteromonas translucida	11	67.73	38.02	119.0	0.0	False	False	0.2083
Buchnera aphidicola	11	68.45	48.19	122.0	0.091	False	False	0.1719
Klebsiella quasipneumoniae	11	68.45	43.52	113.0	0.0	False	False	0.1869
Klebsiella quasivariicola	11	68.91	44.37	113.0	0.0	False	False	0.1839
Peptoniphilus faecalis	11	69.09	41.75	121.0	0.0	False	False	0.1932
Haliea alexandrii	11	69.27	45.87	112.0	0.0	False	False	0.179
Pseudoalteromonas telluritireducens	11	69.36	35.6	105.0	0.0	False	False	0.2193
Cyclobacterium qasimii	11	69.55	47.31	121.0	0.0	False	False	0.1745
Pseudoalteromonas arabiensis	11	69.73	38.87	108.0	0.0	False	False	0.2046
Haloferula luteola	11	69.91	40.5	107.0	0.0	False	False	0.198
Citrobacter koseri	11	70.0	70.9	168.0	0.182	True	False	0.1236
Agarivorans gilvus	11	70.09	51.59	123.0	0.182	False	False	0.1624
Pelagerythrobacter marensis	11	70.18	43.54	120.0	0.0	False	False	0.1868
Phaeocystidibacter luteus	11	70.18	42.13	121.0	0.0	False	False	0.1918
Pseudoalteromonas luteoviolacea	11	70.45	41.21	110.0	0.0	False	False	0.1953
Mangrovibacter plantisponsor	11	71.27	36.47	97.0	0.0	False	False	0.2152
Pontibacter roseus	11	71.64	41.92	122.0	0.0	False	False	0.1926
Novispirillum itersonii	11	72.55	38.36	96.0	0.0	False	False	0.2068
Pseudoalteromonas phenolica	11	72.73	80.29	185.0	0.273	False	False	0.1107
Phytobacter diazotrophicus	11	72.91	42.54	121.0	0.0	False	False	0.1903
Paracoccus salipaludis	11	72.91	43.42	120.0	0.0	False	False	0.1872
Arcticibacterium luteifluviistationis	11	73.27	78.8	175.0	0.182	False	False	0.1126
Kytococcus sedentarius	11	73.91	42.86	117.0	0.0	False	False	0.1892
Methylotenera mobilis	11	74.18	42.37	130.0	0.0	False	False	0.1909
Maribius pelagius	11	74.73	39.08	116.0	0.0	False	False	0.2038
Pseudoalteromonas xiamenensis	11	74.82	41.56	115.0	0.0	False	False	0.194
