spls_rank	gene	best_rank	best_component	coefficient	abs_coefficient	selected_in_n_components
1	JP355460.1	1	1	0.02985882937999472	0.02985882937999472	5
2	XM_067095351.1	2	1	-0.026620064109070446	0.026620064109070446	5
3	GH625815.1	3	1	0.02599667170916206	0.02599667170916206	5
4	XM_067087236.1	4	1	-0.025728639442110342	0.025728639442110342	5
5	GH624226.1	5	1	0.025479727465997706	0.025479727465997706	5
6	XM_067127816.1	6	1	0.025352677425107766	0.025352677425107766	5
7	XM_067123551.1	7	1	0.025169743774329022	0.025169743774329022	5
8	XM_067114957.1	8	1	-0.025140239950748187	0.025140239950748187	5
9	XM_067116556.1	9	1	-0.024998384942314752	0.024998384942314752	5
10	EL695536.1	10	1	-0.02498445328815761	0.02498445328815761	5
11	GH625005.1	11	1	0.02494714635859067	0.02494714635859067	5
12	JP353430.1	12	1	0.024916267989428507	0.024916267989428507	5
13	XM_067129369.1	13	1	-0.024901092146133282	0.024901092146133282	5
14	XM_067130934.1	14	1	-0.0245095586236475	0.0245095586236475	5
15	XM_067118843.1	15	1	0.024490283221731118	0.024490283221731118	5
16	XM_067091930.1	16	1	0.024446754006171068	0.024446754006171068	5
17	XM_067113778.1	17	1	-0.024296769431317877	0.024296769431317877	5
18	KJ622343.1	18	1	0.02422596526928482	0.02422596526928482	5
19	XM_067115119.1	19	1	-0.02413133451232862	0.02413133451232862	5
20	JP352596.1	20	1	0.023451523803791258	0.023451523803791258	5
21	JP351682.1	21	1	0.02345126482749438	0.02345126482749438	5
22	JP353228.1	22	1	0.023431803508535985	0.023431803508535985	5
23	XM_067112938.1	23	1	0.023360234787147535	0.023360234787147535	5
24	XM_067104326.1	24	1	-0.023172217170244563	0.023172217170244563	5
25	XM_067134273.1	25	1	0.02308996159663645	0.02308996159663645	5
26	XM_067117650.1	26	1	-0.023041320988847203	0.023041320988847203	5
27	XM_067098630.1	27	1	0.022886331271929287	0.022886331271929287	5
28	XM_067108373.1	28	1	-0.022791550241484652	0.022791550241484652	5
29	XM_067132634.1	29	1	-0.022778311123406444	0.022778311123406444	5
30	XM_067112453.1	30	1	-0.02277433638441119	0.02277433638441119	5
31	EL609697.1	31	1	-0.022611130532689608	0.022611130532689608	5
32	XM_067088698.1	32	1	0.02259791890393555	0.02259791890393555	5
33	XM_067103168.1	33	1	0.022576348516582915	0.022576348516582915	5
34	JP353771.1	34	1	0.022560792466847057	0.022560792466847057	5
35	JP353178.1	35	1	0.02254693531164201	0.02254693531164201	5
36	XM_067087249.1	36	1	-0.02253746405670461	0.02253746405670461	5
37	GH624142.1	37	1	0.02242550139642212	0.02242550139642212	5
38	GH624912.1	38	1	0.022338804671197074	0.022338804671197074	5
39	XM_067113813.1	39	1	0.0222737488954882	0.0222737488954882	5
40	XM_067108372.1	40	1	-0.022236597789482844	0.022236597789482844	5
41	XM_067105356.1	41	1	-0.022212837346031432	0.022212837346031432	5
42	XM_067118873.1	42	1	-0.022156334815552334	0.022156334815552334	5
43	JP355490.1	43	1	0.02211689445847437	0.02211689445847437	5
44	XM_067127330.1	44	1	-0.02210788945472689	0.02210788945472689	5
45	XM_067103218.1	45	1	-0.02199128225620141	0.02199128225620141	5
46	XM_067090459.1	46	1	0.02182486136790656	0.02182486136790656	5
47	XM_067126774.1	47	1	0.021781197963304955	0.021781197963304955	5
48	XM_067085484.1	48	1	-0.021774351315109464	0.021774351315109464	5
49	XM_067082281.1	49	1	-0.021760292256073815	0.021760292256073815	5
50	XM_067116267.1	50	1	0.02174977318423804	0.02174977318423804	5
