taxon	Jumper	Laggard	fold_diff	direction	contaminant_flag	contamination_score	contamination_risk	pseudocount_stable	pseudocount_stability_score	pseudocount_mean_rank	pseudocount_rank_std	sign_stable	top5_stable_pseudocount	loto_top5_stability	loto_mean_rank_shift	loto_influence_score	is_high_leverage	pseudocount_score	loto_score	combined_stability	stability_tier
Jiulongibacter sediminis	298	17	3.1066	Jumper-enriched	False	0.0	LOW	False	0.1371	42.18	62.93	True	0.545	1.0	-0.01	0.016259	False	0.1371	0.9999	0.5685	MEDIUM
Citrobacter koseri	13	2	2.1146	Jumper-enriched	False	0.0223	LOW	False	0.1236	70.0	70.9	True	0.182	0.0	-0.06	0.011038	False	0.1236	0.9994	0.5615	MEDIUM
Klebsiella variicola	34	9	1.5719	Jumper-enriched	False	0.0052	LOW	False	0.1292	91.09	67.4	True	0.091	0.0	-0.45	0.008182	False	0.1292	0.9955	0.5624	MEDIUM
Erwinia piriflorinigrans	3	1	1.3414	Jumper-enriched	False	0.0995	LOW	False	0.1258	101.91	69.46	True	0.0	0.0	-0.49	0.006968	False	0.1258	0.9951	0.5604	MEDIUM
Unknown	5	2	1.1591	Jumper-enriched	False	0.0615	LOW	False	0.1263	106.82	69.17	True	0.0	0.0	-0.52	0.006009	False	0.1263	0.9948	0.5606	MEDIUM
Cronobacter muytjensii	2	1	0.9359	Jumper-enriched	False	0.1335	LOW	False	0.1289	118.18	67.59	True	0.0	0.0	-0.5	0.004834	False	0.1289	0.995	0.5619	MEDIUM
Marivita roseacus	2	1	0.9359	Jumper-enriched	False	0.1335	LOW	False	0.1335	118.36	64.92	True	0.0	0.0	-0.12	0.004834	False	0.1335	0.9988	0.5662	MEDIUM
Leclercia pneumoniae	4	3	0.5304	Jumper-enriched	False	0.0615	LOW	False	0.1504	143.36	56.48	False	0.0	0.0	-0.35	0.0027	False	0.1504	0.9965	0.5734	MEDIUM
Pectobacterium cacticida	17	14	0.4369	Jumper-enriched	False	0.0105	LOW	False	0.1558	147.18	54.18	False	0.0	0.0	-0.46	0.002208	False	0.1558	0.9954	0.5756	MEDIUM
Enterobacter mori	1	1	0.2428	Jumper-enriched	False	0.1976	LOW	False	0.1643	157.18	50.86	False	0.0	0.0	-8.66	0.001186	False	0.1643	0.9134	0.5389	MEDIUM
Kluyvera georgiana	2	2	0.2428	Jumper-enriched	False	0.0995	LOW	False	0.1541	155.91	54.89	False	0.0	0.0	32.21	0.001186	True	0.1541	0.6779	0.416	LOW
Mucilaginibacter koreensis	1	1	0.2428	Jumper-enriched	False	0.1976	LOW	False	0.1552	155.73	54.45	False	0.0	0.0	-0.01	0.001186	False	0.1552	0.9999	0.5776	MEDIUM
Pluralibacter pyrinus	2	2	0.2428	Jumper-enriched	False	0.0995	LOW	False	0.1639	160.0	51.01	False	0.0	0.0	4.36	0.001186	False	0.1639	0.9564	0.5602	MEDIUM
Rahnella aceris	1	1	0.2428	Jumper-enriched	False	0.1976	LOW	False	0.1658	163.55	50.3	False	0.0	0.0	-20.73	0.001186	True	0.1658	0.7927	0.4792	LOW
Agarivorans gilvus	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1624	70.09	51.59	False	0.182	0.0	0.02	0.001186	False	0.1624	0.9998	0.5811	MEDIUM
Alcanivorax jadensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1576	79.27	53.47	False	0.273	0.0	-0.03	0.001186	False	0.1576	0.9997	0.5786	MEDIUM
Arcticibacterium luteifluviistationis	9	0		Jumper-exclusive	False	0.0432	LOW	False	0.1126	73.27	78.8	False	0.182	0.0	-0.04	0.012751	False	0.1126	0.9996	0.5561	MEDIUM
Buchnera aphidicola	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1719	68.45	48.19	False	0.091	0.0	0.38	0.001186	False	0.1719	0.9962	0.584	MEDIUM
Citrobacter bitternis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1693	65.64	49.06	False	0.182	0.0	0.14	0.001186	False	0.1693	0.9986	0.584	MEDIUM
Cyclobacterium qasimii	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1745	69.55	47.31	False	0.0	0.0	5.79	0.001186	False	0.1745	0.9421	0.5583	MEDIUM
Dyadobacter sediminis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.172	65.82	48.12	False	0.0	0.0	6.38	0.001186	False	0.172	0.9362	0.5541	MEDIUM
Emticicia soli	3	0		Jumper-exclusive	False	0.1335	LOW	False	0.1405	76.18	61.15	False	0.0	0.0	-0.18	0.006968	False	0.1405	0.9982	0.5694	MEDIUM
