module	n_samples	partial_r_obs	partial_r_bootstrap_mean	partial_r_bootstrap_std	partial_r_ci95_lower	partial_r_ci95_upper	ci95_excludes_zero	top5_fraction	sign_flip_rate	bootstrap_p_value	stability_tier	n_bootstraps
M6	20	-0.5898	-0.4261	0.3906	-0.8465	0.4922	False	0.748	0.183	0.51	MEDIUM	1000
M8	20	-0.4828	-0.4418	0.2741	-0.845	0.2109	False	0.682	0.081	0.514	MEDIUM	1000
M7	20	-0.3205	-0.2967	0.2807	-0.7269	0.3712	False	0.488	0.146	0.549	LOW	1000
M13	20	0.3324	0.2562	0.2666	-0.3333	0.6881	False	0.395	0.186	0.483	LOW	1000
M15	20	0.3079	0.2493	0.2373	-0.2807	0.6653	False	0.354	0.15	0.466	LOW	1000
M20	20	0.2273	0.2203	0.2871	-0.4145	0.7213	False	0.275	0.202	0.582	LOW	1000
M12	20	0.2409	0.2222	0.2232	-0.2965	0.5988	False	0.26	0.127	0.561	LOW	1000
M11	20	-0.2594	-0.2465	0.2112	-0.6011	0.241	False	0.252	0.123	0.554	LOW	1000
M16	20	-0.008	-0.0194	0.2895	-0.5726	0.525	False	0.228	0.473	0.98	LOW	1000
M1	20	-0.104	-0.027	0.2741	-0.4911	0.5419	False	0.221	0.37	0.733	LOW	1000
M19	20	0.2308	0.1976	0.2072	-0.2057	0.5952	False	0.188	0.169	0.484	LOW	1000
M14	20	0.0689	0.0772	0.2481	-0.4416	0.5376	False	0.185	0.362	0.789	LOW	1000
M4	20	-0.0696	-0.0088	0.2482	-0.4825	0.4432	False	0.156	0.442	0.808	LOW	1000
M3	20	0.211	0.2026	0.2159	-0.2501	0.5859	False	0.149	0.162	0.556	LOW	1000
M17	20	0.1451	0.1222	0.2213	-0.3075	0.5398	False	0.119	0.276	0.627	LOW	1000
M5	20	-0.1176	-0.1206	0.2251	-0.5623	0.3109	False	0.109	0.278	0.656	LOW	1000
M9	20	-0.153	-0.1177	0.1663	-0.3982	0.2435	False	0.093	0.2	0.513	LOW	1000
M2	20	0.2079	0.2102	0.1567	-0.1331	0.4905	False	0.049	0.078	0.543	LOW	1000
M18	20	-0.0359	-0.0665	0.1691	-0.4319	0.2393	False	0.027	0.332	0.806	LOW	1000
M10	20	-0.0286	-0.0297	0.1422	-0.31	0.2377	False	0.022	0.388	0.842	LOW	1000
