gene	module
AB056458.1	M17
AF221096.1	M1
AY466445.1	M1
AY626840.1	M1
DQ073104.1	M3
DQ121374.1	M2
DQ157765.1	M1
DQ365888.1	M6
EF073269.1	M3
EF208559.1	M1
EF364521.1	M4
EF364552.1	M12
EL608989.1	M4
EL608991.1	M1
EL608993.1	M13
EL608994.1	M2
EL608997.1	M1
EL608998.1	M6
EL608999.1	M1
EL609000.1	M1
EL609002.1	M10
EL609003.1	M4
EL609004.1	M7
EL609008.1	M1
EL609010.1	M5
EL609012.1	M1
EL609013.1	M5
EL609014.1	M1
EL609017.1	M9
EL609018.1	M14
EL609020.1	M8
EL609022.1	M4
EL609023.1	M8
EL609024.1	M3
EL609028.1	M13
EL609029.1	M3
EL609032.1	M11
EL609033.1	M4
EL609039.1	M3
EL609040.1	M2
EL609042.1	M1
EL609043.1	M5
EL609046.1	M1
EL609047.1	M13
EL609048.1	M9
EL609055.1	M3
EL609057.1	M1
EL609060.1	M1
EL609061.1	M4
EL609062.1	M4
EL609064.1	M2
EL609066.1	M5
EL609067.1	M6
EL609069.1	M6
EL609070.1	M1
EL609073.1	M1
EL609076.1	M1
EL609078.1	M0
EL609079.1	M6
EL609081.1	M1
EL609083.1	M6
EL609084.1	M2
EL609085.1	M8
EL609087.1	M4
EL609088.1	M4
EL609089.1	M2
EL609091.1	M0
EL609092.1	M2
EL609093.1	M4
EL609095.1	M6
EL609096.1	M1
EL609097.1	M13
EL609100.1	M1
EL609101.1	M5
EL609103.1	M4
EL609108.1	M2
EL609109.1	M8
EL609110.1	M1
EL609117.1	M3
EL609118.1	M4
EL609119.1	M2
EL609122.1	M0
EL609125.1	M4
EL609126.1	M4
EL609127.1	M4
EL609129.1	M1
EL609130.1	M3
EL609132.1	M4
EL609133.1	M13
EL609134.1	M2
EL609135.1	M1
EL609136.1	M4
EL609137.1	M10
EL609138.1	M1
EL609139.1	M1
EL609140.1	M2
EL609141.1	M10
EL609142.1	M1
EL609151.1	M19
EL609152.1	M2
EL609154.1	M4
EL609157.1	M1
EL609158.1	M1
EL609160.1	M3
EL609189.1	M6
EL609190.1	M1
EL609191.1	M13
EL609192.1	M2
EL609193.1	M1
EL609196.1	M1
EL609201.1	M15
EL609202.1	M4
EL609203.1	M10
EL609208.1	M2
EL609210.1	M2
EL609211.1	M1
EL609212.1	M3
EL609213.1	M1
EL609215.1	M1
EL609219.1	M4
EL609221.1	M2
EL609222.1	M5
EL609227.1	M19
EL609228.1	M3
EL609229.1	M3
EL609230.1	M1
EL609231.1	M3
EL609234.1	M2
EL609236.1	M1
EL609237.1	M1
EL609243.1	M16
EL609245.1	M4
EL609246.1	M11
EL609248.1	M4
EL609252.1	M13
EL609256.1	M1
EL609258.1	M2
EL609261.1	M4
EL609263.1	M5
EL609264.1	M1
EL609265.1	M2
EL609266.1	M1
EL609269.1	M1
EL609271.1	M3
EL609272.1	M3
EL609273.1	M1
EL609276.1	M2
EL609277.1	M3
EL609280.1	M2
EL609282.1	M3
EL609283.1	M4
EL609284.1	M1
EL609286.1	M1
EL609287.1	M1
EL609288.1	M0
EL609289.1	M2
EL609290.1	M2
EL609291.1	M1
EL609292.1	M5
EL609294.1	M4
EL609296.1	M11
EL609300.1	M3
EL609301.1	M9
EL609304.1	M1
EL609306.1	M1
EL609307.1	M4
EL609309.1	M1
EL609311.1	M7
EL609312.1	M10
EL609314.1	M11
EL609317.1	M1
EL609319.1	M1
EL609320.1	M5
EL609322.1	M1
EL609323.1	M2
EL609324.1	M1
EL609325.1	M11
EL609326.1	M1
EL609327.1	M5
EL609328.1	M1
EL609337.1	M3
EL609338.1	M1
EL609339.1	M7
EL609341.1	M4
EL609344.1	M2
EL609345.1	M1
EL609346.1	M4
EL609348.1	M0
EL609349.1	M4
EL609350.1	M19
EL609351.1	M5
EL609352.1	M2
EL609354.1	M4
EL609355.1	M4
EL609357.1	M4
EL609358.1	M2
EL609359.1	M4
EL609360.1	M5
EL609361.1	M3
EL609362.1	M6
EL609363.1	M5
EL609367.1	M6
EL609368.1	M3
EL609369.1	M19
EL609371.1	M19
EL609373.1	M1
EL609374.1	M16
EL609376.1	M10
EL609377.1	M3
EL609378.1	M1
EL609380.1	M1
EL609381.1	M1
EL609382.1	M2
EL609385.1	M1
EL609386.1	M5
EL609388.1	M10
EL609389.1	M4
EL609390.1	M5
EL609391.1	M1
EL609393.1	M1
EL609394.1	M2
EL609395.1	M5
EL609397.1	M13
EL609399.1	M2
EL609401.1	M4
EL609403.1	M11
EL609404.1	M5
EL609406.1	M1
EL609408.1	M4
EL609409.1	M3
EL609411.1	M4
EL609413.1	M1
EL609414.1	M3
EL609415.1	M6
EL609417.1	M9
EL609418.1	M5
EL609419.1	M9
EL609420.1	M4
EL609423.1	M13
EL609426.1	M19
EL609428.1	M2
EL609430.1	M4
EL609431.1	M1
EL609432.1	M16
EL609435.1	M4
EL609436.1	M4
EL609440.1	M1
EL609441.1	M4
EL609442.1	M1
EL609443.1	M1
EL609447.1	M4
EL609448.1	M6
EL609450.1	M13
EL609451.1	M5
EL609452.1	M2
EL609453.1	M1
EL609454.1	M5
EL609459.1	M1
EL609460.1	M3
EL609461.1	M1
EL609462.1	M1
EL609464.1	M13
EL609466.1	M1
EL609468.1	M1
EL609471.1	M6
EL609472.1	M1
EL609477.1	M1
EL609478.1	M3
EL609479.1	M16
EL609480.1	M3
EL609482.1	M9
EL609484.1	M1
EL609486.1	M10
EL609487.1	M18
EL609488.1	M5
EL609490.1	M1
EL609492.1	M4
EL609493.1	M4
EL609497.1	M15
EL609498.1	M10
EL609500.1	M4
EL609501.1	M2
EL609504.1	M2
EL609505.1	M4
EL609508.1	M3
EL609509.1	M1
EL609510.1	M3
EL609511.1	M1
EL609515.1	M2
EL609516.1	M11
EL609517.1	M1
EL609518.1	M1
EL609519.1	M2
EL609521.1	M6
EL609523.1	M1
EL609524.1	M2
EL609525.1	M3
EL609526.1	M1
EL609527.1	M4
EL609528.1	M3
EL609529.1	M5
EL609530.1	M16
EL609532.1	M1
EL609533.1	M1
EL609534.1	M1
EL609535.1	M1
EL609536.1	M3
EL609538.1	M3
EL609539.1	M2
EL609540.1	M9
EL609541.1	M5
EL609543.1	M11
EL609545.1	M0
EL609547.1	M1
EL609548.1	M3
EL609552.1	M4
EL609557.1	M2
EL609558.1	M3
EL609559.1	M3
EL609560.1	M11
EL609561.1	M6
EL609563.1	M1
EL609564.1	M6
EL609569.1	M1
EL609570.1	M4
EL609572.1	M1
EL609573.1	M5
EL609574.1	M1
EL609575.1	M2
EL609576.1	M1
EL609579.1	M1
EL609580.1	M3
EL609581.1	M2
EL609584.1	M2
EL609585.1	M4
EL609586.1	M11
EL609587.1	M3
EL609590.1	M11
EL609592.1	M6
EL609593.1	M6
EL609595.1	M3
EL609600.1	M1
EL609602.1	M2
EL609604.1	M1
EL609606.1	M4
EL609608.1	M4
EL609610.1	M5
EL609611.1	M6
EL609612.1	M3
EL609614.1	M3
EL609615.1	M19
EL609616.1	M1
EL609618.1	M1
EL609619.1	M4
EL609620.1	M3
EL609626.1	M19
EL609630.1	M19
EL609631.1	M4
EL609632.1	M2
EL609633.1	M19
EL609634.1	M1
EL609635.1	M4
EL609636.1	M4
EL609637.1	M4
EL609640.1	M7
EL609641.1	M5
EL609643.1	M2
EL609645.1	M3
EL609646.1	M1
EL609647.1	M6
EL609648.1	M1
EL609649.1	M1
EL609650.1	M3
EL609655.1	M4
EL609656.1	M3
EL609659.1	M13
EL609661.1	M1
EL609662.1	M3
EL609665.1	M2
EL609666.1	M1
EL609668.1	M3
EL609671.1	M1
EL609673.1	M1
EL609674.1	M1
EL609676.1	M11
EL609677.1	M4
EL609678.1	M2
EL609679.1	M13
EL609680.1	M4
EL609681.1	M5
EL609682.1	M1
EL609684.1	M1
EL609685.1	M1
EL609686.1	M2
EL609687.1	M1
EL609688.1	M1
EL609689.1	M3
EL609690.1	M2
EL609695.1	M4
EL609696.1	M1
EL609697.1	M15
EL609699.1	M2
EL609703.1	M1
EL609706.1	M1
EL609711.1	M4
EL609712.1	M3
EL609714.1	M3
EL609715.1	M1
EL609716.1	M3
EL609723.1	M10
EL609724.1	M3
EL609726.1	M2
EL609727.1	M2
EL609730.1	M1
EL609732.1	M1
EL609733.1	M8
EL609734.1	M1
EL609737.1	M7
EL609738.1	M11
EL609739.1	M4
EL609742.1	M6
EL609744.1	M3
EL609746.1	M3
EL609748.1	M3
EL609750.1	M4
EL609751.1	M1
EL609754.1	M6
EL609755.1	M1
EL609756.1	M1
EL609757.1	M2
EL609759.1	M1
EL609760.1	M3
EL609762.1	M3
EL609763.1	M4
EL609764.1	M3
EL609765.1	M4
EL609766.1	M13
EL609767.1	M1
EL609768.1	M0
EL609770.1	M1
EL609771.1	M5
EL609773.1	M2
EL609774.1	M8
EL609776.1	M4
EL609781.1	M3
EL609782.1	M6
EL609783.1	M19
EL609784.1	M2
EL609785.1	M3
EL609788.1	M3
EL609789.1	M11
EL609790.1	M4
EL609792.1	M7
EL609793.1	M1
EL609794.1	M1
EL609797.1	M4
EL609798.1	M3
EL609799.1	M1
EL609801.1	M1
EL609802.1	M6
EL609804.1	M15
EL609805.1	M2
EL609806.1	M13
EL609807.1	M7
EL609808.1	M1
EL609809.1	M2
EL609810.1	M1
EL609811.1	M3
EL609812.1	M3
EL609813.1	M5
EL609814.1	M2
EL609815.1	M5
EL609816.1	M8
EL609817.1	M16
EL609819.1	M11
EL609820.1	M5
EL609821.1	M1
EL609822.1	M1
EL609823.1	M1
EL609826.1	M1
EL609827.1	M13
EL609828.1	M3
EL609829.1	M2
EL609832.1	M4
EL609833.1	M1
EL609836.1	M1
EL609839.1	M1
EL609840.1	M1
EL609841.1	M4
EL609842.1	M3
EL609843.1	M4
EL609844.1	M5
EL609845.1	M3
EL609846.1	M19
EL609848.1	M2
EL609850.1	M7
EL609851.1	M1
EL609852.1	M6
EL609854.1	M1
EL609855.1	M3
EL609856.1	M1
EL609857.1	M7
EL609860.1	M1
EL609861.1	M5
EL609862.1	M2
EL609864.1	M3
EL609865.1	M5
EL609866.1	M8
EL609867.1	M1
EL609868.1	M1
EL609872.1	M3
EL609873.1	M3
EL609875.1	M1
EL609876.1	M1
EL609877.1	M2
EL609880.1	M4
EL609881.1	M1
EL609882.1	M10
EL609883.1	M9
EL609887.1	M6
EL609892.1	M1
EL609893.1	M10
EL609894.1	M1
EL609895.1	M13
EL609898.1	M2
EL609902.1	M2
EL609908.1	M1
EL609910.1	M4
EL609911.1	M7
EL609912.1	M6
EL609914.1	M5
EL609915.1	M3
EL609917.1	M5
EL609918.1	M13
EL609921.1	M3
EL609923.1	M3
EL609925.1	M13
EL609926.1	M1
EL609927.1	M2
EL609929.1	M5
EL609932.1	M2
EL609933.1	M3
EL609938.1	M16
EL609940.1	M1
EL609943.1	M4
EL609944.1	M4
EL609946.1	M15
EL609948.1	M3
EL609949.1	M4
EL609951.1	M1
EL609952.1	M1
EL609953.1	M6
EL609955.1	M3
EL609956.1	M1
EL609958.1	M1
EL609960.1	M1
EL609961.1	M2
EL609962.1	M19
EL609964.1	M2
EL609969.1	M2
EL609971.1	M5
EL609972.1	M11
EL609975.1	M4
EL609976.1	M2
EL609977.1	M1
EL609978.1	M2
EL609980.1	M1
EL609981.1	M1
EL609985.1	M3
EL609988.1	M4
EL609989.1	M1
EL609990.1	M1
EL609991.1	M0
EL609992.1	M3
EL609993.1	M2
EL609994.1	M1
EL609996.1	M1
EL610000.1	M4
EL610002.1	M4
EL610004.1	M1
EL610005.1	M1
EL695505.1	M3
EL695506.1	M1
EL695507.1	M5
EL695510.1	M2
EL695513.1	M1
EL695515.1	M4
EL695517.1	M1
EL695518.1	M1
EL695519.1	M1
EL695520.1	M4
EL695521.1	M1
EL695523.1	M11
EL695528.1	M0
EL695529.1	M0
EL695531.1	M1
EL695532.1	M1
EL695533.1	M1
EL695534.1	M9
EL695535.1	M2
EL695537.1	M1
EL695538.1	M1
EL695539.1	M0
EL695541.1	M9
EL695543.1	M1
EL695544.1	M5
EL695547.1	M19
EL695550.1	M3
EL695551.1	M3
EL695554.1	M7
EL695558.1	M4
EL695559.1	M9
EL695560.1	M11
EL695563.1	M1
EL695564.1	M6
EL695565.1	M6
EL695566.1	M3
EL695570.1	M6
EL695571.1	M5
EL695573.1	M16
EL695574.1	M1
EL695575.1	M1
EL695578.1	M5
EL695581.1	M1
EL695582.1	M14
EL695586.1	M2
EL695588.1	M2
EL695589.1	M1
EL695591.1	M1
EL695592.1	M2
EL695593.1	M2
EL695594.1	M6
EL695595.1	M3
EL695596.1	M2
EL695597.1	M9
EL695598.1	M1
EL695599.1	M5
EL695601.1	M5
EL695603.1	M1
EL695604.1	M4
EL695605.1	M3
EL695606.1	M5
EL695611.1	M3
EL695614.1	M3
EL695615.1	M3
EL695617.1	M3
EL695619.1	M1
EL695620.1	M5
EL695621.1	M4
EL695624.1	M2
EL695625.1	M1
EL695629.1	M1
EL695631.1	M1
EL695634.1	M10
EL695644.1	M2
EL695647.1	M5
EL695648.1	M1
EL695651.1	M1
EL695654.1	M8
EL695655.1	M2
EL695658.1	M2
EL695661.1	M4
EL695664.1	M1
EL695666.1	M16
EL695667.1	M6
EL695668.1	M4
EL695669.1	M1
EL695673.1	M7
EL695675.1	M3
EL695677.1	M3
EL695679.1	M1
EL695680.1	M1
EL695682.1	M1
EL695683.1	M2
EL695684.1	M3
EL695690.1	M2
EL695691.1	M4
EL695692.1	M11
EL695693.1	M4
EL695694.1	M1
EL695695.1	M17
EL695696.1	M1
EL695701.1	M2
EL695703.1	M1
EL695706.1	M2
EL695708.1	M2
EL695709.1	M11
EL695711.1	M4
EL695715.1	M3
EL695716.1	M15
EL695719.1	M5
EL695720.1	M1
EL695722.1	M9
EL695725.1	M16
EL695728.1	M1
EL695729.1	M5
EL695732.1	M3
EL695734.1	M4
EL695735.1	M2
EL695736.1	M1
EL695737.1	M0
EL695739.1	M1
EL695741.1	M1
EL695743.1	M1
EL695745.1	M1
EL695747.1	M2
EL695748.1	M2
EL695749.1	M13
EL695750.1	M2
EL695751.1	M9
EL695752.1	M1
EL695755.1	M4
EL695756.1	M1
EL695757.1	M1
EL695758.1	M1
EL695762.1	M2
EL695763.1	M2
EL695764.1	M19
EL695771.1	M0
EL695773.1	M8
