gene	ncbi_status	ncbi_title	organism	seq_length	protein_accession	protein_title	functional_categories	primary_category
XM_067086030.1	found	PREDICTED: Macrobrachium rosenbergii Myosin regulatory light chain sqh (sqh), transcript variant X2, mRNA	Macrobrachium rosenbergii	2237	protein:2782920136	myosin regulatory light chain sqh isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067082934.1	found	PREDICTED: Macrobrachium rosenbergii unconventional prefoldin RPB5 interactor (uri), transcript variant X5, mRNA	Macrobrachium rosenbergii	1706	protein:2782912427	unconventional prefoldin RPB5 interactor isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067114945.1	found	PREDICTED: Macrobrachium rosenbergii lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (LOC136845115), transcript variant X4, mRNA	Macrobrachium rosenbergii	4315	protein:2782821242	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog isoform X4 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067105068.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136839269), mRNA	Macrobrachium rosenbergii	4396	protein:2782973008	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
EL695914.1	found	AQAH-NH-0415 Macrobrachium rosenbergii Normal hemocyte library Macrobrachium rosenbergii cDNA clone P1825 5', mRNA sequence	Macrobrachium rosenbergii	731			other_uncharacterized	other_uncharacterized
XM_067095058.1	found	PREDICTED: Macrobrachium rosenbergii Wnk kinase (Wnk), transcript variant X47, mRNA	Macrobrachium rosenbergii	13411	protein:2782955917	serine/threonine-protein kinase WNK1 isoform X47 [Macrobrachium rosenbergii]	transcription_signaling	transcription_signaling
JP353831.1	found	TSA: Macrobrachium rosenbergii Contig2322.Mr mRNA sequence	Macrobrachium rosenbergii	1220			other_uncharacterized	other_uncharacterized
XM_067121837.1	found	PREDICTED: Macrobrachium rosenbergii double-stranded RNA-binding protein Staufen (stau), transcript variant X3, mRNA	Macrobrachium rosenbergii	4258	protein:2782848351	double-stranded RNA-binding protein Staufen homolog 2 isoform X3 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067089690.1	found	PREDICTED: Macrobrachium rosenbergii aldehyde dehydrogenase 7 family member A1 (Aldh7A1), mRNA	Macrobrachium rosenbergii	1972	protein:2782931867	alpha-aminoadipic semialdehyde dehydrogenase [Macrobrachium rosenbergii]	energy_metabolism	energy_metabolism
XM_067112268.1	found	PREDICTED: Macrobrachium rosenbergii kinesin-like protein KIF3B (LOC136843695), transcript variant X5, mRNA	Macrobrachium rosenbergii	6872	protein:2782816044	kinesin-like protein KIF3B isoform X5 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
